"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20080101","0.790541","0.759076","0.818182","0.795918","0.000000","0.000000","0.000000"
"20080102","0.793919","0.770627","0.809441","0.807823","0.000000","0.000000","0.000000"
"20080103","0.797297","0.813531","0.818182","0.852041","0.000000","0.000000","0.000000"
"20080104","0.837838","0.831683","0.863636","0.867347","0.000000","0.000000","0.000000"
"20080107","0.841216","0.831683","0.870629","0.852041","0.879198","0.000000","0.000000"
"20080108","0.847973","0.844884","0.877622","0.853741","0.883876","0.000000","0.000000"
"20080109","0.847973","0.932343","0.877622","0.964286","0.919577","0.000000","0.000000"
"20080110","0.957770","0.922442","0.991259","0.964286","0.943377","0.000000","0.000000"
"20080111","0.957770","0.922442","0.991259","0.964286","0.959244","0.000000","0.000000"
"20080114","0.957770","0.973597","0.972028","0.965986","0.970323","0.963322","0.000000"
"20080115","0.969595","0.983498","0.951049","0.971088","0.979213","0.975855","0.000000"
"20080116","0.925676","0.891089","0.877622","0.875850","0.957069","0.970256","0.000000"
"20080117","0.883446","0.874587","0.874126","0.909864","0.952332","0.971337","0.000000"
"20080118","0.844595","0.874587","0.860140","0.882653","0.941154","0.967692","0.000000"
"20080121","0.854730","0.846535","0.856643","0.843537","0.922173","0.958200","0.000000"
"20080122","0.773649","0.757426","0.678322","0.761905","0.885458","0.936845","0.000000"
"20080123","0.814189","0.828383","0.804196","0.852041","0.887549","0.934376","0.000000"
"20080124","0.858108","0.841584","0.842657","0.828231","0.881925","0.928393","0.000000"
"20080125","0.849662","0.831683","0.879371","0.860544","0.887699","0.928876","0.000000"
"20080128","0.826014","0.805281","0.846154","0.824830","0.881023","0.923327","0.952055"
"20080129","0.834459","0.846535","0.863636","0.865646","0.888601","0.925580","0.951448"
"20080130","0.878378","0.849835","0.884615","0.879252","0.897664","0.929689","0.952098"
"20080131","0.873311","0.843234","0.884615","0.870748","0.901200","0.931635","0.951937"
"20080201","0.875000","0.915842","0.905594","0.933673","0.922103","0.943701","0.957336"
"20080204","0.942568","0.924092","0.972028","0.948980","0.940550","0.956121","0.963569"
"20080205","0.935811","0.904290","0.926573","0.904762","0.939815","0.958923","0.965313"
"20080206","0.875000","0.848185","0.888112","0.880952","0.932308","0.957252","0.964792"
"20080207","0.875000","0.841584","0.905594","0.880952","0.927303","0.955885","0.964321"
"20080208","0.875000","0.841584","0.905594","0.880952","0.923966","0.954767","0.963895"
"20080211","0.859797","0.836634","0.863636","0.846939","0.911717","0.948190","0.960513"
"20080212","0.861486","0.844884","0.879371","0.857143","0.906558","0.944508","0.958351"
"20080213","0.864865","0.831683","0.842657","0.824830","0.893595","0.936116","0.953548"
"20080214","0.842905","0.818482","0.860140","0.850340","0.892472","0.933497","0.951451"
"20080215","0.847973","0.836634","0.877622","0.870748","0.897738","0.934751","0.951351"
"20080218","0.875000","0.869637","0.905594","0.891156","0.907264","0.939173","0.953060"
"20080219","0.908784","0.891089","0.937063","0.921769","0.922637","0.947887","0.957303"
"20080220","0.915541","0.899340","0.944056","0.925170","0.933888","0.955583","0.961441"
"20080221","0.925676","0.900990","0.947552","0.926871","0.941891","0.962163","0.965336"
"20080222","0.920608","0.905941","0.951049","0.945578","0.952739","0.970660","0.970508"
"20080225","0.949324","0.957096","0.977273","1.000000","0.976012","0.986671","0.979982"
"20080226","1.000000","1.000000","1.000000","0.974490","0.984008","0.995525","0.986307"
"20080227","0.971284","0.945545","0.958042","0.943878","0.980316","0.997673","0.989332"
"20080228","0.942568","0.917492","0.945804","0.930272","0.973845","0.997166","0.990870"
"20080229","0.908784","0.889439","0.940559","0.918367","0.966022","0.994770","0.991212"
"20080303","0.875000","0.920792","0.896853","0.935374","0.965819","0.995640","0.993020"
"20080304","0.959459","0.940594","0.945804","0.940476","0.967188","0.997201","0.995106"
"20080305","0.934122","0.922442","0.961538","0.937075","0.967098","0.997913","0.996694"
"20080306","0.952703","0.924092","0.965035","0.940476","0.968040","0.999061","0.998429"
"20080307","0.934122","0.899340","0.966783","0.940476","0.968668","1.000000","1.000000"
"20080310","0.880068","0.866337","0.860140","0.845238","0.941017","0.984916","0.993029"
"20080311","0.837838","0.805281","0.807692","0.816327","0.914061","0.967762","0.984174"
"20080312","0.847973","0.825083","0.832168","0.816327","0.896091","0.953727","0.976163"
"20080313","0.798986","0.767327","0.746503","0.727891","0.858046","0.927524","0.961121"
"20080314","0.739865","0.714521","0.695804","0.680272","0.818647","0.898159","0.943317"
"20080317","0.635135","0.636964","0.625874","0.629252","0.777344","0.865640","0.922712"
"20080318","0.641892","0.636964","0.631119","0.670068","0.761838","0.845828","0.907666"
"20080319","0.695946","0.676568","0.695804","0.693878","0.758519","0.833581","0.896151"
"20080320","0.689189","0.660066","0.713287","0.693878","0.756306","0.823561","0.885733"
"20080321","0.689189","0.660066","0.713287","0.693878","0.754830","0.815363","0.876307"
"20080324","0.689189","0.679868","0.701049","0.712585","0.759361","0.811769","0.869427"
"20080325","0.722973","0.732673","0.746503","0.760204","0.776416","0.816755","0.867399"
"20080326","0.760135","0.737624","0.767483","0.748299","0.784277","0.818853","0.864514"
"20080327","0.739865","0.716172","0.737762","0.751701","0.790521","0.821135","0.862204"
"20080328","0.753378","0.732673","0.769231","0.753401","0.795184","0.823286","0.860264"
"20080331","0.746622","0.716172","0.732517","0.722789","0.789271","0.819950","0.855811"
"20080401","0.733108","0.702970","0.664336","0.658163","0.766281","0.806464","0.846088"
"20080402","0.672297","0.653465","0.629371","0.619048","0.739425","0.788918","0.833844"
"20080403","0.621622","0.597360","0.548951","0.549320","0.700970","0.762957","0.816622"
"20080404","0.550676","0.552805","0.569930","0.564626","0.679845","0.744263","0.802388"
"20080407","0.567568","0.594059","0.578671","0.625850","0.683806","0.739160","0.794906"
"20080408","0.631757","0.632013","0.629371","0.642857","0.691460","0.737815","0.789634"
"20080409","0.645270","0.625413","0.622378","0.625850","0.691550","0.733884","0.783366"
"20080410","0.604730","0.655116","0.611888","0.687075","0.709655","0.740858","0.783090"
"20080411","0.695946","0.698020","0.720280","0.714286","0.729745","0.751094","0.785238"
"20080414","0.675676","0.693069","0.683566","0.726190","0.746647","0.761450","0.788230"
"20080415","0.729730","0.719472","0.748252","0.738095","0.761424","0.771904","0.791986"
