"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20080101","28000.000000","28000.000000","28000.000000","28000.000000","0.000000","0.000000","0.000000"
"20080102","28100.000000","28350.000000","27750.000000","28350.000000","0.000000","0.000000","0.000000"
"20080103","28200.000000","29650.000000","28000.000000","29650.000000","0.000000","0.000000","0.000000"
"20080104","29400.000000","30200.000000","29300.000000","30100.000000","0.000000","0.000000","0.000000"
"20080107","29500.000000","30200.000000","29500.000000","29650.000000","29233.333333","0.000000","0.000000"
"20080108","29700.000000","30600.000000","29700.000000","29700.000000","29388.888889","0.000000","0.000000"
"20080109","29700.000000","33250.000000","29700.000000","32950.000000","30575.925926","0.000000","0.000000"
"20080110","32950.000000","32950.000000","32950.000000","32950.000000","31367.283951","0.000000","0.000000"
"20080111","32950.000000","32950.000000","32950.000000","32950.000000","31894.855967","0.000000","0.000000"
"20080114","32950.000000","34500.000000","32400.000000","33000.000000","32263.237311","30936.363636","0.000000"
"20080115","33300.000000","34800.000000","31800.000000","33150.000000","32558.824874","31338.842975","0.000000"
"20080116","32000.000000","32000.000000","29700.000000","30350.000000","31822.549916","31159.053343","0.000000"
"20080117","30750.000000","31500.000000","29600.000000","31350.000000","31665.033277","31193.770917","0.000000"
"20080118","29600.000000","31500.000000","29200.000000","30550.000000","31293.355518","31076.721660","0.000000"
"20080121","29900.000000","30650.000000","29100.000000","29400.000000","30662.237012","30771.863176","0.000000"
"20080122","27500.000000","27950.000000","24000.000000","27000.000000","29441.491341","30086.069871","0.000000"
"20080123","28700.000000","30100.000000","27600.000000","29650.000000","29510.994228","30006.784440","0.000000"
"20080124","30000.000000","30500.000000","28700.000000","28950.000000","29323.996152","29814.641815","0.000000"
"20080125","29750.000000","30200.000000","29750.000000","29900.000000","29515.997435","29830.161485","0.000000"
"20080128","29050.000000","29400.000000","28800.000000","28850.000000","29293.998290","29651.950306","30252.380952"
"20080129","29300.000000","30650.000000","29300.000000","30050.000000","29545.998860","29724.322977","30233.106576"
"20080130","30600.000000","30750.000000","29900.000000","30450.000000","29847.332573","29856.264254","30253.763093"
"20080131","30450.000000","30550.000000","29900.000000","30200.000000","29964.888382","29918.761663","30248.642798"
"20080201","30500.000000","32750.000000","30500.000000","32050.000000","30659.925588","30306.259542","30420.200627"
"20080204","32500.000000","33000.000000","32400.000000","32500.000000","31273.283725","30705.121444","30618.276758"
"20080205","32300.000000","32400.000000","31100.000000","31200.000000","31248.855817","30795.099363","30673.678971"
"20080206","30500.000000","30700.000000","30000.000000","30500.000000","30999.237211","30741.444933","30657.138117"
"20080207","30500.000000","30500.000000","30500.000000","30500.000000","30832.824808","30697.545854","30642.172582"
"20080208","30500.000000","30500.000000","30500.000000","30500.000000","30721.883205","30661.628426","30628.632336"
"20080211","30050.000000","30350.000000","29300.000000","29500.000000","30314.588803","30450.423258","30521.143542"
"20080212","30100.000000","30600.000000","29750.000000","29800.000000","30143.059202","30332.164484","30452.463205"
"20080213","30200.000000","30200.000000","28700.000000","28850.000000","29712.039468","30062.680032","30299.847661"
"20080214","29550.000000","29800.000000","29200.000000","29600.000000","29674.692979","29978.556390","30233.195503"
"20080215","29700.000000","30350.000000","29700.000000","30200.000000","29849.795319","30018.818865","30230.034027"
"20080218","30500.000000","31350.000000","30500.000000","30800.000000","30166.530213","30160.851798","30284.316500"
"20080219","31500.000000","32000.000000","31400.000000","31700.000000","30677.686809","30440.696926","30419.143500"
"20080220","31700.000000","32250.000000","31600.000000","31800.000000","31051.791206","30687.842939","30550.653643"
"20080221","32000.000000","32300.000000","31700.000000","31850.000000","31317.860804","30899.144223","30674.400915"
"20080222","31850.000000","32450.000000","31800.000000","32400.000000","31678.573869","31172.027092","30838.743685"
"20080225","32700.000000","34000.000000","32550.000000","34000.000000","32452.382579","31686.203984","31139.815715"
"20080226","34200.000000","35300.000000","33200.000000","33250.000000","32718.255053","31970.530532","31340.785647"
"20080227","33350.000000","33650.000000","32000.000000","32350.000000","32595.503369","32039.524981","31436.901300"
"20080228","32500.000000","32800.000000","31650.000000","31950.000000","32380.335579","32023.247712","31485.767843"
"20080229","31500.000000","31950.000000","31500.000000","31600.000000","32120.223719","31946.293582","31496.647096"
"20080303","30500.000000","32900.000000","30250.000000","32100.000000","32113.482480","31974.240204","31554.109277"
"20080304","33000.000000","33500.000000","31650.000000","32250.000000","32158.988320","32024.378349","31620.384584"
"20080305","32250.000000","32950.000000","32100.000000","32150.000000","32155.992213","32047.218649","31670.824147"
"20080306","32800.000000","33000.000000","32200.000000","32250.000000","32187.328142","32084.087985","31725.983752"
"20080307","32250.000000","32250.000000","32250.000000","32250.000000","32208.218761","32114.253806","31775.890062"
"20080310","30650.000000","31250.000000","29200.000000","29450.000000","31288.812508","31629.844023","31554.376723"
"20080311","29400.000000","29400.000000","27700.000000","28600.000000","30392.541672","31078.963292","31273.007511"
"20080312","29700.000000","30000.000000","28400.000000","28600.000000","29795.027781","30628.242693","31018.435367"
