"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20080401","0.837838","0.817658","0.755467","0.754386","0.000000","0.000000","0.000000"
"20080402","0.768340","0.760077","0.715706","0.709552","0.000000","0.000000","0.000000"
"20080403","0.710425","0.694818","0.624254","0.629630","0.000000","0.000000","0.000000"
"20080404","0.629344","0.642994","0.648111","0.647173","0.000000","0.000000","0.000000"
"20080407","0.648649","0.690979","0.658052","0.717349","0.761017","0.000000","0.000000"
"20080408","0.722008","0.735125","0.715706","0.736842","0.772881","0.000000","0.000000"
"20080409","0.737452","0.727447","0.707753","0.717349","0.775141","0.000000","0.000000"
"20080410","0.691120","0.761996","0.695825","0.787524","0.796987","0.000000","0.000000"
"20080411","0.795367","0.811900","0.819085","0.818713","0.820590","0.000000","0.000000"
"20080414","0.772201","0.806142","0.777336","0.832359","0.840280","0.822711","0.000000"
"20080415","0.833977","0.836852","0.850895","0.846004","0.857362","0.839248","0.000000"
"20080416","0.845560","0.834933","0.860835","0.849903","0.869880","0.853411","0.000000"
"20080417","0.857143","0.840691","0.840954","0.824561","0.870880","0.860892","0.000000"
"20080418","0.814672","0.831094","0.831014","0.816764","0.869287","0.865750","0.000000"
"20080421","0.826255","0.833013","0.815109","0.799220","0.863141","0.866883","0.000000"
"20080422","0.791506","0.771593","0.779324","0.791423","0.856783","0.866546","0.000000"
"20080423","0.787645","0.786948","0.799205","0.799220","0.854805","0.867534","0.000000"
"20080424","0.803089","0.792706","0.763419","0.748538","0.838796","0.860131","0.000000"
"20080425","0.756757","0.740883","0.735586","0.725146","0.821344","0.850284","0.000000"
"20080428","0.729730","0.725528","0.715706","0.752437","0.817619","0.846649","0.864324"
"20080429","0.749035","0.756238","0.767396","0.768031","0.819656","0.846201","0.864623"
"20080430","0.752896","0.740883","0.749503","0.744639","0.814234","0.842045","0.862854"
"20080501","0.737452","0.717850","0.759443","0.744639","0.810619","0.838644","0.861254"
"20080502","0.749035","0.738964","0.745527","0.740741","0.807079","0.835231","0.859466"
"20080505","0.741313","0.731286","0.755467","0.752437","0.808109","0.834332","0.858868"
"20080506","0.752896","0.735125","0.759443","0.756335","0.809926","0.834229","0.858667"
"20080507","0.762548","0.758157","0.773360","0.783626","0.819047","0.838566","0.860866"
"20080508","0.764479","0.754319","0.779324","0.773879","0.822302","0.840535","0.862004"
"20080509","0.772201","0.765835","0.785288","0.773879","0.824473","0.842147","0.863035"
"20080512","0.766409","0.761996","0.783300","0.775828","0.826485","0.843781","0.864137"
"20080513","0.768340","0.769674","0.791252","0.791423","0.832346","0.847644","0.866494"
"20080514","0.805019","0.786948","0.811133","0.814815","0.843033","0.854595","0.870667"
"20080515","0.818533","0.806142","0.813121","0.805068","0.847333","0.858704","0.873592"
"20080516","0.801158","0.802303","0.825050","0.826511","0.856414","0.865539","0.878109"
"20080519","0.826255","0.844530","0.850895","0.869396","0.874897","0.878079","0.885935"
"20080520","0.861004","0.840691","0.886680","0.869396","0.887220","0.888339","0.893016"
"20080521","0.851351","0.846449","0.854871","0.847953","0.889220","0.893260","0.897552"
"20080522","0.822394","0.834933","0.846918","0.861598","0.894508","0.899497","0.902847"
"20080523","0.868726","0.856046","0.862823","0.849903","0.894644","0.902705","0.906617"
"20080526","0.841699","0.833013","0.844930","0.828460","0.888520","0.901856","0.908159"
"20080527","0.833977","0.836852","0.852883","0.836257","0.886697","0.902424","0.910233"
"20080528","0.833977","0.829175","0.850895","0.840156","0.886611","0.903521","0.912450"
"20080529","0.853282","0.834933","0.860835","0.861598","0.892769","0.907892","0.916326"
"20080530","0.861004","0.840691","0.858847","0.851852","0.894049","0.909890","0.918982"
"20080602","0.828185","0.825336","0.834990","0.822612","0.886428","0.906787","0.918836"
"20080603","0.814672","0.806142","0.801193","0.797271","0.874003","0.900142","0.916494"
"20080604","0.806950","0.790787","0.793241","0.783626","0.861765","0.892495","0.913185"
"20080605","0.760618","0.758157","0.771372","0.769981","0.849651","0.884027","0.909001"
"20080606","0.779923","0.765835","0.789264","0.773879","0.842705","0.877731","0.905555"
"20080609","0.745174","0.790787","0.763419","0.818713","0.851069","0.879843","0.906348"
"20080610","0.814672","0.806142","0.799205","0.789474","0.848170","0.876834","0.904515"
"20080611","0.783784","0.792706","0.807157","0.808967","0.851888","0.877531","0.904557"
"20080612","0.793436","0.850288","0.813121","0.871345","0.872445","0.888206","0.910034"
"20080613","0.868726","0.869482","0.894632","0.884990","0.890104","0.899152","0.916180"
"20080616","0.889961","0.873321","0.894632","0.890838","0.903572","0.909055","0.922250"
"20080617","0.857143","0.840691","0.866799","0.857700","0.902947","0.911788","0.924852"
"20080618","0.857143","0.836852","0.856859","0.847953","0.899705","0.912446","0.926357"
"20080619","0.839768","0.890595","0.862823","0.914230","0.916752","0.923722","0.933498"
"20080620","0.907336","0.948177","0.932406","0.978558","0.946761","0.943369","0.945569"
"20080623","0.961390","0.982726","0.982107","1.000000","0.972982","0.962919","0.958359"
"20080624","1.000000","1.000000","1.000000","0.980507","0.984813","0.975755","0.968232"
"20080625","0.961390","0.940499","0.924453","0.908382","0.971796","0.974573","0.970875"
"20080626","0.911197","0.905950","0.934394","0.920078","0.966508","0.975500","0.974286"
"20080627","0.903475","0.913628","0.918489","0.943470","0.969763","0.980049","0.979413"
"20080630","0.938224","0.952015","0.966203","0.972710","0.980407","0.988508","0.986600"
"20080701","0.967181","0.946257","0.980119","0.966862","0.985808","0.994481","0.992594"
"20080702","0.961390","0.971209","0.982107","0.970760","0.990539","1.000000","0.998356"
"20080703","0.953668","0.938580","0.942346","0.929825","0.981828","0.997883","1.000000"
"20080704","0.920849","0.909789","0.918489","0.912281","0.970936","0.993309","0.999957"
"20080707","0.903475","0.888676","0.894632","0.892788","0.958025","0.986408","0.998219"
"20080708","0.884170","0.863724","0.868787","0.855750","0.938683","0.974762","0.993416"
"20080709","0.847490","0.861804","0.870775","0.857700","0.926354","0.965549","0.989241"
"20080710","0.845560","0.844530","0.846918","0.869396","0.921524","0.959905","0.986483"
"20080711","0.864865","0.859885","0.890656","0.877193","0.920564","0.956551","0.984668"
"20080714","0.868726","0.852207","0.858847","0.847953","0.911450","0.949070","0.980476"
"20080715","0.826255","0.817658","0.834990","0.824561","0.898593","0.939159","0.974643"
"20080716","0.816602","0.808061","0.823062","0.807018","0.884938","0.928208","0.967836"
"20080717","0.810811","0.798464","0.763419","0.752437","0.860015","0.910405","0.956917"
"20080718","0.743243","0.723608","0.660040","0.651072","0.814021","0.879416","0.938199"
"20080721","0.648649","0.658349","0.660040","0.682261","0.792398","0.859114","0.923983"
"20080722","0.675676","0.660269","0.675944","0.674464","0.775723","0.841241","0.910441"
"20080723","0.671815","0.654511","0.626243","0.615984","0.747657","0.817143","0.893089"
"20080724","0.594595","0.587332","0.576541","0.608187","0.726687","0.796162","0.876710"
"20080725","0.594595","0.644914","0.600398","0.668616","0.730221","0.788787","0.867160"
"20080728","0.671815","0.660269","0.667992","0.672515","0.733706","0.783385","0.858860"
"20080729","0.648649","0.644914","0.656064","0.647173","0.728686","0.774859","0.849140"
"20080730","0.640927","0.621881","0.660040","0.647173","0.725338","0.767883","0.840346"
"20080731","0.648649","0.650672","0.667992","0.674464","0.731017","0.766597","0.834770"
"20080801","0.660232","0.641075","0.660040","0.649123","0.727457","0.761439","0.827514"
"20080804","0.633205","0.625720","0.644135","0.641326","0.722825","0.755956","0.820270"
"20080805","0.621622","0.602687","0.612326","0.608187","0.710132","0.746101","0.810826"
"20080806","0.602317","0.583493","0.580517","0.569201","0.690370","0.731721","0.798881"
"20080807","0.563707","0.560461","0.556660","0.557505","0.673806","0.718061","0.787054"
"20080808","0.555985","0.548944","0.546720","0.541910","0.658244","0.704357","0.774994"
"20080811","0.536680","0.518234","0.510934","0.506823","0.637699","0.687461","0.761022"
"20080812","0.498069","0.479846","0.449304","0.448343","0.607054","0.664162","0.743281"
"20080813","0.440154","0.437620","0.441352","0.444444","0.585493","0.644468","0.726890"
"20080814","0.457529","0.487524","0.465209","0.510721","0.590329","0.639092","0.717839"
"20080815","0.494208","0.476008","0.469185","0.467836","0.581123","0.627746","0.705911"
"20080818","0.463320","0.445298","0.477137","0.467836","0.574986","0.618462","0.695119"
"20080819","0.447876","0.454894","0.449304","0.442495","0.563550","0.606761","0.683144"
"20080820","0.459459","0.445298","0.461233","0.456140","0.559881","0.599398","0.673500"
"20080821","0.465251","0.470250","0.479125","0.483431","0.565344","0.597795","0.667155"
"20080822","0.501931","0.522073","0.514911","0.530214","0.582546","0.604064","0.665493"
"20080825","0.503861","0.506718","0.512922","0.524366","0.592319","0.608245","0.663480"
"20080826","0.515444","0.504798","0.516899","0.508772","0.594314","0.609139","0.660299"
"20080827","0.509653","0.495202","0.512922","0.504873","0.594515","0.609240","0.657080"
"20080828","0.513514","0.510557","0.528827","0.526316","0.600863","0.612796","0.656038"
"20080829","0.509653","0.502879","0.524851","0.520468","0.603400","0.614758","0.654585"
"20080901","0.521236","0.516315","0.530815","0.530214","0.607916","0.617942","0.654121"
"20080902","0.513514","0.500960","0.516899","0.514620","0.606408","0.618021","0.652341"
