"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20080101","0.323569","0.314108","0.333333","0.322667","0.000000","0.000000","0.000000"
"20080102","0.323569","0.316706","0.330601","0.322667","0.000000","0.000000","0.000000"
"20080103","0.320905","0.311509","0.325137","0.317333","0.000000","0.000000","0.000000"
"20080104","0.320905","0.324500","0.330601","0.330667","0.000000","0.000000","0.000000"
"20080107","0.326232","0.321902","0.336066","0.330667","0.360965","0.000000","0.000000"
"20080108","0.331558","0.324500","0.333333","0.322667","0.359942","0.000000","0.000000"
"20080109","0.323569","0.316706","0.330601","0.322667","0.359259","0.000000","0.000000"
"20080110","0.323569","0.314108","0.333333","0.322667","0.358804","0.000000","0.000000"
"20080111","0.323569","0.314108","0.333333","0.322667","0.358501","0.000000","0.000000"
"20080114","0.323569","0.321902","0.330601","0.322667","0.358299","0.368746","0.000000"
"20080115","0.326232","0.316706","0.303279","0.301333","0.351147","0.364634","0.000000"
"20080116","0.294274","0.288127","0.273224","0.274667","0.337607","0.356353","0.000000"
"20080117","0.280959","0.275136","0.281421","0.280000","0.330334","0.350560","0.000000"
"20080118","0.272969","0.269940","0.275956","0.274667","0.323732","0.344838","0.000000"
"20080121","0.270306","0.264744","0.267760","0.264000","0.315821","0.338190","0.000000"
"20080122","0.251664","0.243959","0.229508","0.237333","0.301775","0.327833","0.000000"
"20080123","0.251664","0.246558","0.243169","0.250667","0.296798","0.321818","0.000000"
"20080124","0.256991","0.254352","0.254098","0.253333","0.294356","0.317389","0.000000"
"20080125","0.262317","0.259548","0.259563","0.266667","0.297115","0.316223","0.000000"
"20080128","0.254328","0.251754","0.259563","0.258667","0.296322","0.313794","0.347124"
"20080129","0.262317","0.256950","0.259563","0.250667","0.293162","0.310331","0.342903"
"20080130","0.259654","0.251754","0.256831","0.253333","0.291933","0.307990","0.339349"
"20080131","0.254328","0.251754","0.262295","0.258667","0.292867","0.307058","0.336663"
"20080201","0.262317","0.254352","0.262295","0.256000","0.292613","0.305804","0.333968"
"20080204","0.262317","0.254352","0.262295","0.261333","0.294198","0.305761","0.332058"
