"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20080101","1360.000000","1360.000000","1360.000000","1360.000000","0.000000","0.000000","0.000000"
"20080102","1360.000000","1370.000000","1350.000000","1360.000000","0.000000","0.000000","0.000000"
"20080103","1350.000000","1350.000000","1330.000000","1340.000000","0.000000","0.000000","0.000000"
"20080104","1350.000000","1400.000000","1350.000000","1390.000000","0.000000","0.000000","0.000000"
"20080107","1370.000000","1390.000000","1370.000000","1390.000000","1371.666667","0.000000","0.000000"
"20080108","1390.000000","1400.000000","1360.000000","1360.000000","1367.777778","0.000000","0.000000"
"20080109","1360.000000","1370.000000","1350.000000","1360.000000","1365.185185","0.000000","0.000000"
"20080110","1360.000000","1360.000000","1360.000000","1360.000000","1363.456790","0.000000","0.000000"
"20080111","1360.000000","1360.000000","1360.000000","1360.000000","1362.304527","0.000000","0.000000"
"20080114","1360.000000","1390.000000","1350.000000","1360.000000","1361.536351","1363.636364","0.000000"
"20080115","1370.000000","1370.000000","1250.000000","1280.000000","1334.357567","1348.429752","0.000000"
"20080116","1250.000000","1260.000000","1140.000000","1180.000000","1282.905045","1317.806161","0.000000"
"20080117","1200.000000","1210.000000","1170.000000","1200.000000","1255.270030","1296.386859","0.000000"
"20080118","1170.000000","1190.000000","1150.000000","1180.000000","1230.180020","1275.225612","0.000000"
"20080121","1160.000000","1170.000000","1120.000000","1140.000000","1200.120013","1250.639137","0.000000"
"20080122","1090.000000","1090.000000","980.000000","1040.000000","1146.746676","1212.341112","0.000000"
"20080123","1090.000000","1100.000000","1030.000000","1090.000000","1127.831117","1190.097273","0.000000"
"20080124","1110.000000","1130.000000","1070.000000","1100.000000","1118.554078","1173.715951","0.000000"
"20080125","1130.000000","1150.000000","1090.000000","1150.000000","1129.036052","1169.403960","0.000000"
"20080128","1100.000000","1120.000000","1090.000000","1120.000000","1126.024035","1160.421422","1249.523810"
"20080129","1130.000000","1140.000000","1090.000000","1090.000000","1114.016023","1147.617527","1234.331066"
"20080130","1120.000000","1120.000000","1080.000000","1100.000000","1109.344015","1138.959795","1221.537631"
"20080131","1100.000000","1120.000000","1100.000000","1120.000000","1112.896010","1135.512559","1211.867380"
"20080201","1130.000000","1130.000000","1100.000000","1110.000000","1111.930674","1130.873912","1202.165725"
"20080204","1130.000000","1130.000000","1100.000000","1130.000000","1117.953782","1130.715019","1195.292799"
"20080205","1120.000000","1120.000000","1090.000000","1120.000000","1118.635855","1128.766834","1188.122056"
"20080206","1090.000000","1090.000000","1070.000000","1080.000000","1105.757237","1119.900137","1177.824717"
"20080207","1080.000000","1080.000000","1080.000000","1080.000000","1097.171491","1112.645566","1168.508078"
"20080208","1080.000000","1080.000000","1080.000000","1080.000000","1091.447661","1106.710009","1160.078737"
"20080211","1080.000000","1080.000000","1030.000000","1040.000000","1074.298440","1094.580916","1148.642667"
"20080212","1050.000000","1070.000000","1040.000000","1060.000000","1069.532294","1088.293477","1140.200508"
"20080213","1050.000000","1070.000000","1050.000000","1060.000000","1066.354862","1083.149208","1132.562364"
"20080214","1080.000000","1090.000000","1070.000000","1070.000000","1067.569908","1080.758443","1126.604044"
"20080215","1060.000000","1070.000000","1050.000000","1060.000000","1065.046606","1076.984181","1120.260802"
"20080218","1070.000000","1080.000000","1040.000000","1050.000000","1060.031070","1072.077966","1113.569297"
"20080219","1050.000000","1050.000000","1040.000000","1050.000000","1056.687380","1068.063791","1107.515078"
"20080220","1060.000000","1060.000000","1020.000000","1030.000000","1047.791587","1061.143101","1100.132690"
"20080221","1040.000000","1050.000000","1030.000000","1040.000000","1045.194391","1057.298901","1094.405767"
"20080222","1040.000000","1050.000000","1030.000000","1030.000000","1040.129594","1052.335465","1088.271884"
"20080225","1030.000000","1030.000000","1000.000000","1010.000000","1030.086396","1044.638107","1080.817419"
"20080226","1020.000000","1030.000000","990.000000","1010.000000","1023.390931","1038.340270","1074.072903"
"20080227","1010.000000","1030.000000","1000.000000","1010.000000","1018.927287","1033.187493","1067.970722"
"20080228","1000.000000","1010.000000","1000.000000","1010.000000","1015.951525","1028.971585","1062.449701"
"20080229","1010.000000","1010.000000","970.000000","980.000000","1003.967683","1020.067661","1054.597348"
"20080303","960.000000","980.000000","950.000000","960.000000","989.311789","1009.146268","1045.588077"
"20080304","980.000000","980.000000","910.000000","930.000000","969.541193","994.756037","1034.579689"
"20080305","930.000000","930.000000","900.000000","910.000000","949.694128","979.345849","1022.714956"
"20080306","920.000000","940.000000","910.000000","930.000000","943.129419","970.373876","1013.884961"
"20080307","930.000000","930.000000","930.000000","930.000000","938.752946","963.033172","1005.895917"
"20080310","900.000000","910.000000","880.000000","900.000000","925.835297","951.572595","995.810591"
"20080311","880.000000","880.000000","850.000000","880.000000","910.556865","938.559396","984.781011"
"20080312","900.000000","910.000000","880.000000","900.000000","907.037910","931.548597","976.706629"
"20080313","900.000000","900.000000","810.000000","810.000000","874.691940","909.448852","960.829807"
"20080314","840.000000","880.000000","750.000000","770.000000","839.794627","884.094515","942.655540"
"20080317","710.000000","720.000000","650.000000","710.000000","796.529751","852.440967","920.497869"
"20080318","660.000000","710.000000","660.000000","710.000000","767.686501","826.542609","900.450453"
"20080319","750.000000","760.000000","710.000000","720.000000","751.791000","807.171226","883.264696"
"20080320","720.000000","720.000000","720.000000","720.000000","741.194000","791.321912","867.715677"
"20080321","720.000000","720.000000","720.000000","720.000000","734.129334","778.354292","853.647517"
"20080324","720.000000","730.000000","700.000000","730.000000","732.752889","769.562602","841.871563"
"20080325","740.000000","770.000000","720.000000","750.000000","738.501926","766.005765","833.121891"
