"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20080101","0.559140","0.493917","0.563830","0.562667","0.000000","0.000000","0.000000"
"20080102","0.559140","0.493917","0.553191","0.557333","0.000000","0.000000","0.000000"
"20080103","0.543011","0.484185","0.531915","0.541333","0.000000","0.000000","0.000000"
"20080104","0.543011","0.484185","0.537234","0.552000","0.000000","0.000000","0.000000"
"20080107","0.537634","0.474453","0.531915","0.541333","0.642058","0.000000","0.000000"
"20080108","0.537634","0.479319","0.537234","0.536000","0.638330","0.000000","0.000000"
"20080109","0.526882","0.489051","0.531915","0.557333","0.641810","0.000000","0.000000"
"20080110","0.553763","0.489051","0.558511","0.557333","0.644130","0.000000","0.000000"
"20080111","0.553763","0.489051","0.558511","0.557333","0.645676","0.000000","0.000000"
"20080114","0.548387","0.489051","0.537234","0.552000","0.645216","0.649405","0.000000"
"20080115","0.548387","0.484185","0.531915","0.541333","0.641926","0.647839","0.000000"
"20080116","0.521505","0.464720","0.505319","0.520000","0.633767","0.643276","0.000000"
"20080117","0.516129","0.464720","0.494681","0.520000","0.628328","0.639542","0.000000"
"20080118","0.500000","0.454988","0.489362","0.520000","0.624702","0.636487","0.000000"
"20080121","0.489247","0.445255","0.484043","0.488000","0.613336","0.629065","0.000000"
"20080122","0.462366","0.406326","0.414894","0.456000","0.596810","0.618069","0.000000"
"20080123","0.473118","0.430657","0.473404","0.493333","0.596233","0.614816","0.000000"
"20080124","0.489247","0.454988","0.494681","0.520000","0.603305","0.616257","0.000000"
"20080125","0.516129","0.484185","0.521277","0.552000","0.616969","0.622358","0.000000"
"20080128","0.150538","0.136253","0.156915","0.168000","0.518695","0.568276","0.610514"
"20080129","0.161290","0.133820","0.159574","0.165333","0.452433","0.523617","0.583416"
"20080130","0.158602","0.131387","0.154255","0.160000","0.406768","0.486258","0.558465"
"20080131","0.153226","0.128954","0.154255","0.162667","0.377070","0.456101","0.536108"
"20080201","0.158602","0.131387","0.159574","0.162667","0.357271","0.431427","0.515879"
"20080204","0.158602","0.138686","0.167553","0.168000","0.345563","0.412060","0.498012"
"20080205","0.155914","0.133820","0.164894","0.165333","0.337012","0.395804","0.481629"
"20080206","0.150538","0.126521","0.156915","0.160000","0.329820","0.381683","0.466372"
"20080211","0.150538","0.128954","0.143617","0.149333","0.322043","0.368489","0.451700"
"20080212","0.142473","0.116788","0.135638","0.136000","0.313129","0.355642","0.437339"
"20080213","0.134409","0.109489","0.130319","0.133333","0.306441","0.344721","0.424129"
"20080214","0.131720","0.121655","0.140957","0.149333","0.306457","0.338247","0.413480"
"20080215","0.134409","0.119221","0.143617","0.152000","0.307213","0.333360","0.404062"
"20080218","0.147849","0.131387","0.154255","0.162667","0.310700","0.331003","0.396410"
"20080219","0.158602","0.136253","0.164894","0.165333","0.313770","0.329484","0.389703"
"20080220","0.161290","0.133820","0.164894","0.168000","0.316562","0.328652","0.383852"
"20080221","0.161290","0.138686","0.167553","0.173333","0.319916","0.328792","0.378993"
"20080222","0.161290","0.138686","0.170213","0.168000","0.320660","0.328086","0.374162"
"20080225","0.163978","0.141119","0.170213","0.176000","0.323393","0.328739","0.370443"
"20080226","0.169355","0.141119","0.172872","0.173333","0.324469","0.328863","0.366861"
"20080227","0.166667","0.141119","0.164894","0.165333","0.322950","0.327733","0.362968"
"20080228","0.155914","0.128954","0.159574","0.162667","0.321191","0.326399","0.359230"
"20080229","0.153226","0.131387","0.159574","0.165333","0.320764","0.325718","0.356064"
"20080303","0.150538","0.133820","0.154255","0.160000","0.318988","0.324340","0.352766"
"20080304","0.155914","0.133820","0.156915","0.168000","0.320041","0.324443","0.350433"
"20080305","0.158602","0.136253","0.162234","0.170667","0.321489","0.324938","0.348539"
"20080306","0.163978","0.136253","0.162234","0.162667","0.320217","0.324112","0.346175"
"20080310","0.145161","0.124088","0.140957","0.154667","0.317132","0.322205","0.343384"
"20080311","0.137097","0.116788","0.140957","0.146667","0.312838","0.319415","0.340208"
