"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20030714","0.002500","0.012195","0.007500","0.010000","0.000000","0.000000","0.000000"
"20030715","0.012500","0.014634","0.015000","0.010000","0.000000","0.000000","0.000000"
"20030716","0.010000","0.009756","0.012500","0.007500","0.000000","0.000000","0.000000"
"20030717","0.007500","0.009756","0.012500","0.010000","0.000000","0.000000","0.000000"
"20030718","0.007500","0.009756","0.012500","0.010000","0.079050","0.000000","0.000000"
"20030721","0.010000","0.012195","0.012500","0.010000","0.079180","0.000000","0.000000"
"20030722","0.010000","0.009756","0.012500","0.010000","0.079266","0.000000","0.000000"
"20030723","0.007500","0.009756","0.012500","0.010000","0.079324","0.000000","0.000000"
"20030724","0.007500","0.007317","0.007500","0.007500","0.078584","0.000000","0.000000"
"20030725","0.005000","0.007317","0.010000","0.007500","0.078090","0.079751","0.000000"
"20030728","0.005000","0.007317","0.007500","0.005000","0.076982","0.079046","0.000000"
"20030729","0.005000","0.004878","0.007500","0.005000","0.076244","0.078469","0.000000"
"20030730","0.002500","0.002439","0.002500","0.002500","0.074972","0.077565","0.000000"
"20030731","0.000000","0.002439","0.005000","0.002500","0.074125","0.076826","0.000000"
"20030801","0.000000","0.002439","0.005000","0.002500","0.073560","0.076222","0.000000"
"20030804","0.002500","0.002439","0.002500","0.002500","0.073183","0.075727","0.000000"
"20030805","0.000000","0.004878","0.002500","0.000000","0.072153","0.074891","0.000000"
"20030806","0.000000","0.000000","0.000000","0.000000","0.071467","0.074207","0.000000"
"20030807","0.000000","0.002439","0.005000","0.002500","0.071788","0.074079","0.000000"
"20030808","0.002500","0.002439","0.005000","0.002500","0.072002","0.073974","0.077557"
"20030811","0.000000","0.002439","0.005000","0.002500","0.072145","0.073888","0.077263"
"20030812","0.000000","0.002439","0.005000","0.002500","0.072240","0.073817","0.076997"
"20030813","0.002500","0.002439","0.005000","0.002500","0.072303","0.073760","0.076756"
"20030814","0.000000","0.002439","0.005000","0.002500","0.072345","0.073713","0.076538"
"20030815","0.000000","0.002439","0.005000","0.002500","0.072374","0.073674","0.076341"
"20030819","0.002500","0.004878","0.005000","0.002500","0.072392","0.073642","0.076163"
"20030820","0.000000","0.002439","0.005000","0.002500","0.072405","0.073617","0.076001"
"20030821","0.000000","0.009756","0.005000","0.010000","0.074750","0.074889","0.076542"
"20030822","0.010000","0.009756","0.012500","0.010000","0.076313","0.075930","0.077031"
"20030825","0.007500","0.009756","0.010000","0.010000","0.077355","0.076781","0.077473"
"20030826","0.007500","0.009756","0.010000","0.010000","0.078050","0.077478","0.077873"
"20030827","0.007500","0.009756","0.012500","0.010000","0.078513","0.078048","0.078235"
"20030828","0.010000","0.009756","0.012500","0.010000","0.078822","0.078515","0.078563"
"20030829","0.010000","0.009756","0.010000","0.010000","0.079028","0.078896","0.078859"
"20030901","0.007500","0.007317","0.010000","0.007500","0.078386","0.078777","0.078899"
"20030902","0.005000","0.004878","0.007500","0.005000","0.077179","0.078249","0.078705"
"20030903","0.005000","0.007317","0.007500","0.007500","0.077154","0.078248","0.078760"
"20030904","0.007500","0.012195","0.012500","0.012500","0.078694","0.079109","0.079266"
"20030905","0.010000","0.014634","0.015000","0.012500","0.079722","0.079814","0.079724"
"20030908","0.012500","0.012195","0.012500","0.010000","0.079627","0.079959","0.079910"
"20030909","0.010000","0.009756","0.012500","0.010000","0.079565","0.080078","0.080078"
"20030910","0.007500","0.009756","0.012500","0.010000","0.079523","0.080175","0.080230"
"20030911","0.007500","0.009756","0.012500","0.010000","0.079495","0.080255","0.080368"
"20030912","0.007500","0.009756","0.012500","0.010000","0.079476","0.080320","0.080492"
"20030915","0.007500","0.012195","0.012500","0.012500","0.080243","0.080805","0.080834"
"20030916","0.010000","0.012195","0.012500","0.010000","0.079975","0.080770","0.080914"
"20030917","0.010000","0.012195","0.015000","0.012500","0.080575","0.081173","0.081215"
"20030918","0.010000","0.012195","0.015000","0.012500","0.080975","0.081502","0.081488"
"20030919","0.010000","0.012195","0.015000","0.012500","0.081242","0.081772","0.081734"
"20030923","0.010000","0.009756","0.012500","0.010000","0.080641","0.081561","0.081729"
"20030924","0.010000","0.012195","0.015000","0.012500","0.081019","0.081820","0.081952"
"20030925","0.010000","0.012195","0.015000","0.012500","0.081271","0.082032","0.082155"
"20030926","0.010000","0.012195","0.015000","0.012500","0.081440","0.082205","0.082338"
"20030929","0.010000","0.009756","0.012500","0.010000","0.080773","0.081916","0.082275"
"20030930","0.010000","0.009756","0.012500","0.010000","0.080328","0.081679","0.082218"
"20031001","0.010000","0.012195","0.012500","0.012500","0.080811","0.081916","0.082395"
"20031002","0.010000","0.012195","0.015000","0.012500","0.081132","0.082110","0.082555"
"20031003","0.010000","0.012195","0.015000","0.012500","0.081347","0.082269","0.082700"
"20031006","0.012500","0.012195","0.015000","0.012500","0.081490","0.082399","0.082831"
"20031007","0.010000","0.009756","0.012500","0.010000","0.080806","0.082075","0.082721"
"20031008","0.010000","0.009756","0.012500","0.010000","0.080351","0.081809","0.082621"
"20031009","0.010000","0.009756","0.012500","0.010000","0.080047","0.081592","0.082531"
"20031010","0.010000","0.017073","0.015000","0.017500","0.082181","0.082707","0.083136"
"20031013","0.017500","0.019512","0.020000","0.017500","0.083603","0.083620","0.083683"
"20031014","0.017500","0.026829","0.022500","0.025000","0.086888","0.085660","0.084865"
"20031015","0.025000","0.024390","0.025000","0.022500","0.088299","0.086898","0.085705"
"20031016","0.022500","0.021951","0.022500","0.020000","0.088461","0.087479","0.086236"
"20031017","0.020000","0.019512","0.022500","0.020000","0.088569","0.087955","0.086717"
"20031020","0.020000","0.019512","0.022500","0.020000","0.088641","0.088345","0.087152"
"20031021","0.020000","0.019512","0.020000","0.017500","0.087910","0.088232","0.087317"
"20031022","0.017500","0.019512","0.020000","0.017500","0.087423","0.088140","0.087466"
"20031023","0.017500","0.019512","0.017500","0.015000","0.086319","0.087634","0.087372"
"20031024","0.015000","0.017073","0.020000","0.017500","0.086362","0.087651","0.087516"
"20031027","0.015000","0.017073","0.020000","0.017500","0.086391","0.087665","0.087646"
"20031028","0.015000","0.017073","0.020000","0.017500","0.086410","0.087676","0.087763"
"20031029","0.015000","0.017073","0.020000","0.017500","0.086423","0.087685","0.087870"
"20031030","0.017500","0.019512","0.020000","0.017500","0.086432","0.087693","0.087966"
"20031031","0.017500","0.021951","0.020000","0.020000","0.087216","0.088130","0.088282"
"20031103","0.020000","0.019512","0.022500","0.020000","0.087739","0.088488","0.088568"
"20031104","0.020000","0.021951","0.025000","0.020000","0.088088","0.088780","0.088827"
"20031105","0.020000","0.019512","0.022500","0.020000","0.088320","0.089020","0.089061"
"20031106","0.020000","0.019512","0.020000","0.017500","0.087696","0.088785","0.089044"
"20031107","0.015000","0.014634","0.017500","0.015000","0.086502","0.088161","0.088800"
