"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20040102","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"20040105","0.002564","0.005141","0.002571","0.005128","0.000000","0.000000","0.000000"
"20040106","0.005128","0.002571","0.005141","0.002564","0.000000","0.000000","0.000000"
"20040107","0.002564","0.000000","0.002571","0.002564","0.000000","0.000000","0.000000"
"20040108","0.002564","0.010283","0.005141","0.012821","0.098910","0.000000","0.000000"
"20040109","0.012821","0.023136","0.015424","0.025641","0.104881","0.000000","0.000000"
"20040112","0.023077","0.023136","0.020566","0.023077","0.108082","0.000000","0.000000"
"20040113","0.020513","0.020566","0.020566","0.020513","0.109438","0.000000","0.000000"
"20040114","0.020513","0.023136","0.017995","0.025641","0.111900","0.000000","0.000000"
"20040115","0.025641","0.033419","0.028278","0.035897","0.116656","0.110790","0.000000"
"20040116","0.033333","0.038560","0.035990","0.035897","0.119827","0.113925","0.000000"
"20040119","0.035897","0.035990","0.033419","0.033333","0.121162","0.116059","0.000000"
"20040120","0.035897","0.033419","0.035990","0.035897","0.122831","0.118236","0.000000"
"20040121","0.035897","0.033419","0.033419","0.033333","0.123164","0.119586","0.000000"
"20040123","0.033333","0.041131","0.035990","0.043590","0.126502","0.122415","0.000000"
"20040126","0.043590","0.048843","0.043702","0.051282","0.131064","0.126023","0.000000"
"20040127","0.051282","0.048843","0.033419","0.033333","0.128653","0.125958","0.000000"
"20040128","0.033333","0.035990","0.033419","0.033333","0.127046","0.125904","0.000000"
"20040129","0.033333","0.030848","0.030848","0.033333","0.125975","0.125860","0.000000"
"20040130","0.033333","0.030848","0.028278","0.030769","0.124481","0.125393","0.120568"
"20040203","0.025641","0.028278","0.025707","0.030769","0.123486","0.125011","0.120982"
"20040204","0.030769","0.030848","0.030848","0.033333","0.123601","0.125129","0.121585"
"20040205","0.030769","0.030848","0.033419","0.030769","0.122899","0.124795","0.121902"
"20040206","0.033333","0.043702","0.035990","0.043590","0.126325","0.126677","0.123333"
"20040209","0.043590","0.043702","0.041131","0.041026","0.127831","0.127786","0.124399"
"20040210","0.041026","0.041131","0.041131","0.041026","0.128834","0.128693","0.125363"
"20040211","0.041026","0.038560","0.041131","0.041026","0.129503","0.129435","0.126236"
"20040212","0.041026","0.038560","0.041131","0.041026","0.129949","0.130043","0.127025"
"20040213","0.038462","0.038560","0.038560","0.041026","0.130246","0.130539","0.127739"
"20040216","0.038462","0.038560","0.041131","0.041026","0.130445","0.130946","0.128385"
"20040217","0.038462","0.041131","0.041131","0.043590","0.131356","0.131710","0.129199"
"20040218","0.043590","0.043702","0.043702","0.046154","0.132742","0.132766","0.130163"
"20040219","0.046154","0.056555","0.048843","0.056410","0.136781","0.135354","0.131951"
"20040220","0.056410","0.053985","0.056555","0.056410","0.139474","0.137472","0.133569"
"20040224","0.053846","0.051414","0.048843","0.051282","0.139712","0.138342","0.134575"
"20040225","0.048718","0.048843","0.048843","0.051282","0.139870","0.139054","0.135485"
"20040226","0.051282","0.051414","0.051414","0.051282","0.139976","0.139637","0.136309"
"20040227","0.051282","0.048843","0.043702","0.041026","0.136931","0.138389","0.136139"
"20040301","0.043590","0.041131","0.038560","0.041026","0.134901","0.137369","0.135985"
"20040302","0.041026","0.048843","0.043702","0.051282","0.136663","0.138258","0.136761"
"20040303","0.051282","0.053985","0.051414","0.053846","0.138616","0.139416","0.137692"
"20040304","0.053846","0.051414","0.051414","0.053846","0.139919","0.140364","0.138534"
"20040305","0.051282","0.048843","0.051414","0.051282","0.140008","0.140709","0.139067"
"20040308","0.048718","0.046272","0.048843","0.048718","0.139289","0.140560","0.139321"
"20040309","0.048718","0.046272","0.046272","0.048718","0.138809","0.140438","0.139550"
"20040310","0.048718","0.048843","0.048843","0.051282","0.139269","0.140769","0.139987"
"20040312","0.046154","0.043702","0.043702","0.041026","0.136459","0.139315","0.139466"
"20040315","0.043590","0.041131","0.041131","0.038462","0.133808","0.137695","0.138767"
"20040316","0.038462","0.035990","0.033419","0.038462","0.132040","0.136370","0.138134"
"20040317","0.038462","0.038560","0.038560","0.041026","0.131640","0.135716","0.137790"
"20040318","0.041026","0.038560","0.041131","0.041026","0.131374","0.135181","0.137479"
"20040319","0.038462","0.038560","0.041131","0.041026","0.131196","0.134744","0.137198"
"20040323","0.035897","0.038560","0.038560","0.038462","0.130299","0.133955","0.136714"
"20040324","0.035897","0.035990","0.038560","0.038462","0.129701","0.133309","0.136277"
"20040325","0.038462","0.035990","0.035990","0.035897","0.128523","0.132350","0.135652"
"20040326","0.035897","0.033419","0.030848","0.033333","0.126960","0.131134","0.134858"
"20040329","0.033333","0.030848","0.028278","0.030769","0.125138","0.129708","0.133911"
"20040330","0.030769","0.035990","0.030848","0.035897","0.125481","0.129404","0.133512"
"20040331","0.035897","0.038560","0.035990","0.041026","0.127268","0.130017","0.133608"
"20040401","0.038462","0.035990","0.035990","0.038462","0.127680","0.130087","0.133467"
"20040402","0.038462","0.038560","0.041131","0.041026","0.128734","0.130576","0.133568"
"20040406","0.043590","0.046272","0.043702","0.048718","0.131773","0.132269","0.134345"
"20040407","0.048718","0.046272","0.046272","0.046154","0.133020","0.133223","0.134820"
"20040408","0.043590","0.046272","0.046272","0.046154","0.133851","0.134004","0.135249"
"20040412","0.043590","0.041131","0.043702","0.043590","0.133627","0.134212","0.135409"
"20040413","0.043590","0.041131","0.043702","0.043590","0.133477","0.134382","0.135553"
"20040414","0.041026","0.043702","0.043702","0.046154","0.134156","0.134952","0.135913"
"20040415","0.046154","0.043702","0.041131","0.043590","0.133830","0.134987","0.136009"
"20040416","0.041026","0.041131","0.043702","0.043590","0.133612","0.135016","0.136096"
"20040419","0.043590","0.048843","0.046272","0.046154","0.134246","0.135471","0.136404"
"20040420","0.046154","0.048843","0.048843","0.051282","0.136226","0.136705","0.137140"
"20040421","0.051282","0.053985","0.053985","0.056410","0.139104","0.138577","0.138264"
"20040422","0.056410","0.053985","0.051414","0.053846","0.140244","0.139678","0.139051"
"20040423","0.053846","0.053985","0.053985","0.056410","0.141783","0.141009","0.139993"
"20040426","0.053846","0.053985","0.053985","0.053846","0.142030","0.141668","0.140616"
"20040427","0.053846","0.053985","0.056555","0.056410","0.142973","0.142637","0.141408"
"20040428","0.053846","0.051414","0.053985","0.053846","0.142823","0.143000","0.141897"
