"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20040102","1000.000000","1025.000000","975.000000","1000.000000","0.000000","0.000000","0.000000"
"20040105","1025.000000","1075.000000","1000.000000","1050.000000","0.000000","0.000000","0.000000"
"20040106","1050.000000","1050.000000","1025.000000","1025.000000","0.000000","0.000000","0.000000"
"20040107","1025.000000","1025.000000","1000.000000","1025.000000","0.000000","0.000000","0.000000"
"20040108","1025.000000","1125.000000","1025.000000","1125.000000","1058.333333","0.000000","0.000000"
"20040109","1125.000000","1250.000000","1125.000000","1250.000000","1122.222222","0.000000","0.000000"
"20040112","1225.000000","1250.000000","1175.000000","1225.000000","1156.481481","0.000000","0.000000"
"20040113","1200.000000","1225.000000","1175.000000","1200.000000","1170.987654","0.000000","0.000000"
"20040114","1200.000000","1250.000000","1150.000000","1250.000000","1197.325103","0.000000","0.000000"
"20040115","1250.000000","1350.000000","1250.000000","1350.000000","1248.216735","1168.181818","0.000000"
"20040116","1325.000000","1400.000000","1325.000000","1350.000000","1282.144490","1201.239669","0.000000"
"20040119","1350.000000","1375.000000","1300.000000","1325.000000","1296.429660","1223.741548","0.000000"
"20040120","1350.000000","1350.000000","1325.000000","1350.000000","1314.286440","1246.697630","0.000000"
"20040121","1350.000000","1350.000000","1300.000000","1325.000000","1317.857627","1260.934424","0.000000"
"20040123","1325.000000","1425.000000","1325.000000","1425.000000","1353.571751","1290.764529","0.000000"
"20040126","1425.000000","1500.000000","1400.000000","1500.000000","1402.381167","1328.807342","0.000000"
"20040127","1500.000000","1500.000000","1300.000000","1325.000000","1376.587445","1328.115098","0.000000"
"20040128","1325.000000","1375.000000","1300.000000","1325.000000","1359.391630","1327.548717","0.000000"
"20040129","1325.000000","1325.000000","1275.000000","1325.000000","1347.927753","1327.085314","0.000000"
"20040130","1325.000000","1325.000000","1250.000000","1300.000000","1331.951836","1322.160711","1254.761905"
"20040203","1250.000000","1300.000000","1225.000000","1300.000000","1321.301224","1318.131491","1259.070295"
"20040204","1300.000000","1325.000000","1275.000000","1325.000000","1322.534149","1319.380311","1265.349314"
"20040205","1300.000000","1325.000000","1300.000000","1300.000000","1315.022766","1315.856618","1268.649380"
"20040206","1325.000000","1450.000000","1325.000000","1425.000000","1351.681844","1335.700869","1283.539915"
"20040209","1425.000000","1450.000000","1375.000000","1400.000000","1367.787896","1347.391620","1294.631352"
"20040210","1400.000000","1425.000000","1375.000000","1400.000000","1378.525264","1356.956780","1304.666461"
"20040211","1400.000000","1400.000000","1375.000000","1400.000000","1385.683509","1364.782820","1313.745846"
"20040212","1400.000000","1400.000000","1375.000000","1400.000000","1390.455673","1371.185944","1321.960527"
"20040213","1375.000000","1400.000000","1350.000000","1400.000000","1393.637115","1376.424863","1329.392858"
"20040216","1375.000000","1400.000000","1375.000000","1400.000000","1395.758077","1380.711252","1336.117347"
"20040217","1375.000000","1425.000000","1375.000000","1425.000000","1405.505385","1388.763751","1344.582362"
"20040218","1425.000000","1450.000000","1400.000000","1450.000000","1420.336923","1399.897615","1354.622137"
"20040219","1450.000000","1575.000000","1450.000000","1550.000000","1463.557949","1427.188957","1373.229553"
"20040220","1550.000000","1550.000000","1525.000000","1550.000000","1492.371966","1449.518238","1390.064833"
"20040224","1525.000000","1525.000000","1450.000000","1500.000000","1494.914644","1458.696740","1400.534849"
"20040225","1475.000000","1500.000000","1450.000000","1500.000000","1496.609763","1466.206424","1410.007721"
"20040226","1500.000000","1525.000000","1475.000000","1500.000000","1497.739842","1472.350710","1418.578414"
"20040227","1500.000000","1500.000000","1400.000000","1400.000000","1465.159894","1459.196036","1416.809041"
"20040301","1425.000000","1425.000000","1350.000000","1400.000000","1443.439930","1448.433120","1415.208180"
"20040302","1400.000000","1500.000000","1400.000000","1500.000000","1462.293286","1457.808916","1423.283592"
"20040303","1500.000000","1550.000000","1475.000000","1525.000000","1483.195524","1470.025477","1432.970869"
"20040304","1525.000000","1525.000000","1475.000000","1525.000000","1497.130350","1480.020845","1441.735548"
"20040305","1500.000000","1500.000000","1475.000000","1500.000000","1498.086900","1483.653419","1447.284543"
"20040308","1475.000000","1475.000000","1450.000000","1475.000000","1490.391266","1482.080070","1449.924110"
"20040309","1475.000000","1475.000000","1425.000000","1475.000000","1485.260844","1480.792784","1452.312290"
"20040310","1475.000000","1500.000000","1450.000000","1500.000000","1490.173896","1484.285005","1456.853977"
"20040312","1450.000000","1450.000000","1400.000000","1400.000000","1460.115931","1468.960459","1451.439313"
"20040315","1425.000000","1425.000000","1375.000000","1375.000000","1431.743954","1451.876739","1444.159378"
"20040316","1375.000000","1375.000000","1300.000000","1375.000000","1412.829303","1437.899150","1437.572771"
"20040317","1375.000000","1400.000000","1350.000000","1400.000000","1408.552868","1431.008396","1433.994412"
"20040318","1400.000000","1400.000000","1375.000000","1400.000000","1405.701912","1425.370506","1430.756849"
"20040319","1375.000000","1400.000000","1375.000000","1400.000000","1403.801275","1420.757686","1427.827625"
"20040323","1350.000000","1400.000000","1350.000000","1375.000000","1394.200850","1412.438107","1422.796422"
"20040324","1350.000000","1375.000000","1350.000000","1375.000000","1387.800567","1405.631178","1418.244382"
"20040325","1375.000000","1375.000000","1325.000000","1350.000000","1375.200378","1395.516419","1411.744917"
"20040326","1350.000000","1350.000000","1275.000000","1325.000000","1358.466918","1382.695252","1403.483497"
"20040329","1325.000000","1325.000000","1250.000000","1300.000000","1338.977946","1367.659751","1393.627925"
"20040330","1300.000000","1375.000000","1275.000000","1350.000000","1342.651964","1364.448887","1389.472885"
"20040331","1350.000000","1400.000000","1325.000000","1400.000000","1361.767976","1370.912726","1390.475467"
"20040401","1375.000000","1375.000000","1325.000000","1375.000000","1366.178651","1371.655867","1389.001613"
"20040402","1375.000000","1400.000000","1375.000000","1400.000000","1377.452434","1376.809346","1390.049079"
"20040406","1425.000000","1475.000000","1400.000000","1475.000000","1409.968289","1394.662192","1398.139643"
"20040407","1475.000000","1475.000000","1425.000000","1450.000000","1423.312193","1404.723612","1403.078724"
"20040408","1425.000000","1475.000000","1425.000000","1450.000000","1432.208129","1412.955682","1407.547417"
"20040412","1425.000000","1425.000000","1400.000000","1425.000000","1429.805419","1415.145558","1409.209568"
"20040413","1425.000000","1425.000000","1400.000000","1425.000000","1428.203613","1416.937275","1410.713419"
"20040414","1400.000000","1450.000000","1400.000000","1450.000000","1435.469075","1422.948679","1414.454998"
"20040415","1450.000000","1450.000000","1375.000000","1425.000000","1431.979383","1423.321647","1415.459284"
"20040416","1400.000000","1425.000000","1400.000000","1425.000000","1429.652922","1423.626802","1416.367923"
"20040419","1425.000000","1500.000000","1425.000000","1450.000000","1436.435282","1428.421929","1419.570978"
"20040420","1450.000000","1500.000000","1450.000000","1500.000000","1457.623521","1441.436124","1427.230885"
"20040421","1500.000000","1550.000000","1500.000000","1550.000000","1488.415681","1461.175010","1438.923182"
"20040422","1550.000000","1550.000000","1475.000000","1525.000000","1500.610454","1472.779554","1447.120974"
"20040423","1525.000000","1550.000000","1500.000000","1550.000000","1517.073636","1486.819635","1456.918976"
"20040426","1525.000000","1550.000000","1500.000000","1525.000000","1519.715757","1493.761519","1463.402883"
