"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"19970701","0.094103","0.094431","0.095238","0.095760","0.000000","0.000000","0.000000"
"19970702","0.095456","0.094732","0.095737","0.095465","0.000000","0.000000","0.000000"
"19970703","0.095200","0.095026","0.096165","0.096540","0.000000","0.000000","0.000000"
"19970704","0.096277","0.095249","0.097043","0.096764","0.000000","0.000000","0.000000"
"19970707","0.096436","0.095896","0.097424","0.097048","0.141126","0.000000","0.000000"
"19970708","0.096718","0.096239","0.097842","0.097617","0.141500","0.000000","0.000000"
"19970709","0.097305","0.096521","0.097686","0.097075","0.141577","0.000000","0.000000"
"19970710","0.096748","0.095609","0.095088","0.095261","0.141053","0.000000","0.000000"
"19970711","0.094991","0.093830","0.094495","0.094106","0.140337","0.000000","0.000000"
"19970714","0.093833","0.092964","0.094128","0.093920","0.139801","0.142159","0.000000"
"19970715","0.093628","0.092948","0.094246","0.093862","0.139425","0.141825","0.000000"
"19970716","0.093831","0.092970","0.094469","0.094122","0.139257","0.141597","0.000000"
"19970718","0.093805","0.093223","0.094414","0.094223","0.139177","0.141428","0.000000"
"19970721","0.093974","0.092858","0.092321","0.091883","0.138381","0.140880","0.000000"
"19970722","0.091615","0.090688","0.092228","0.091689","0.137789","0.140398","0.000000"
"19970723","0.091434","0.091559","0.092556","0.093051","0.137827","0.140242","0.000000"
"19970724","0.092797","0.092038","0.092161","0.091812","0.137459","0.139897","0.000000"
"19970725","0.091490","0.090373","0.091674","0.091411","0.137086","0.139545","0.000000"
"19970728","0.091178","0.090379","0.092059","0.091564","0.136886","0.139284","0.000000"
"19970729","0.091243","0.091191","0.092363","0.092680","0.137107","0.139265","0.141691"
"19970730","0.092372","0.092319","0.093479","0.093815","0.137614","0.139449","0.141654"
"19970731","0.093561","0.092774","0.093617","0.093672","0.137907","0.139574","0.141607"
"19970801","0.093392","0.092367","0.094035","0.093773","0.138134","0.139694","0.141574"
"19970804","0.093342","0.092303","0.093690","0.093156","0.138090","0.139684","0.141487"
"19970805","0.092849","0.091908","0.092451","0.092182","0.137751","0.139506","0.141319"
"19970806","0.091879","0.090730","0.089307","0.089354","0.136628","0.138864","0.140905"
"19970807","0.089037","0.087886","0.084838","0.084913","0.134470","0.137562","0.140120"
"19970808","0.084624","0.084734","0.084439","0.084429","0.132878","0.136411","0.139365"
"19970811","0.084121","0.082992","0.077266","0.080946","0.130711","0.134860","0.138360"
"19970812","0.080736","0.081467","0.079455","0.081910","0.129572","0.133759","0.137540"
"19970813","0.081484","0.080609","0.080877","0.081032","0.128534","0.132705","0.136717"
"19970814","0.080732","0.080006","0.077719","0.077888","0.126845","0.131292","0.135682"
"19970815","0.077372","0.076273","0.072242","0.072785","0.124099","0.129242","0.134273"
"19970818","0.072501","0.071423","0.062944","0.069141","0.121112","0.126926","0.132662"
"19970819","0.068715","0.070321","0.066962","0.067303","0.118538","0.124710","0.131035"
"19970820","0.066954","0.067040","0.067699","0.067836","0.116991","0.122990","0.129612"
"19970821","0.067892","0.069940","0.068832","0.069830","0.116592","0.121932","0.128509"
"19970822","0.069504","0.068439","0.063824","0.064050","0.114492","0.120053","0.126976"
"19970825","0.063383","0.062345","0.056238","0.057300","0.110950","0.117334","0.124966"
"19970826","0.056944","0.059201","0.053131","0.059984","0.109440","0.115580","0.123395"
"19970827","0.059725","0.060108","0.060145","0.060230","0.108512","0.114188","0.121997"
"19970828","0.059816","0.058794","0.055364","0.055170","0.106287","0.112162","0.120264"
"19970829","0.054659","0.053659","0.047961","0.047826","0.102473","0.109219","0.118017"
"19970901","0.047519","0.047780","0.046360","0.046215","0.099420","0.106528","0.115836"
"19970902","0.046096","0.045820","0.044626","0.044811","0.096938","0.104081","0.113732"
"19970903","0.045845","0.050513","0.046616","0.051543","0.097421","0.103258","0.112451"
"19970904","0.052511","0.054621","0.053334","0.055876","0.099117","0.103343","0.111693"
"19970905","0.056922","0.066694","0.057778","0.068025","0.104103","0.105541","0.112129"
"19970908","0.068640","0.070854","0.067853","0.069276","0.107825","0.107558","0.112640"
"19970909","0.070224","0.070906","0.068488","0.068810","0.110158","0.109127","0.113059"
"19970910","0.068491","0.067593","0.064360","0.064175","0.110242","0.109599","0.113009"
"19970911","0.063747","0.062708","0.060597","0.060367","0.109090","0.109318","0.112613"
"19970912","0.059941","0.058918","0.058555","0.058451","0.107714","0.108753","0.112077"
"19970915","0.058395","0.058830","0.059177","0.059282","0.107060","0.108436","0.111669"
"19970916","0.059083","0.058714","0.056352","0.056069","0.105605","0.107613","0.111002"
"19970917","0.055752","0.054970","0.054541","0.054438","0.104117","0.106655","0.110249"
"19970918","0.054108","0.053110","0.053443","0.053939","0.102967","0.105784","0.109521"
"19970919","0.053693","0.054148","0.054524","0.055313","0.102636","0.105311","0.108990"
"19970922","0.055064","0.055671","0.055806","0.056225","0.102704","0.105084","0.108593"
"19970923","0.056082","0.055814","0.056689","0.057007","0.102999","0.105036","0.108306"
"19970924","0.056754","0.059122","0.057609","0.059865","0.104102","0.105497","0.108311"
"19970925","0.059933","0.060052","0.060739","0.060988","0.105193","0.106070","0.108419"
"19970926","0.060641","0.059615","0.059346","0.059113","0.105326","0.106211","0.108344"
"19970929","0.058862","0.057844","0.058240","0.058371","0.105179","0.106197","0.108207"
"19970930","0.058349","0.058535","0.058457","0.058461","0.105110","0.106201","0.108092"
"19971001","0.058111","0.057096","0.056745","0.056505","0.104443","0.105861","0.107807"
"19971002","0.056253","0.055247","0.055835","0.056491","0.103994","0.105581","0.107547"
"19971003","0.055951","0.054946","0.050971","0.052167","0.102322","0.104594","0.106913"
"19971006","0.051865","0.051022","0.048074","0.051644","0.101042","0.103695","0.106291"
"19971007","0.051664","0.052621","0.052070","0.051858","0.100256","0.102997","0.105748"
"19971008","0.051867","0.051629","0.051883","0.052864","0.100052","0.102603","0.105349"
"19971009","0.053019","0.053160","0.053721","0.053302","0.100054","0.102356","0.105029"
"19971010","0.053343","0.054798","0.054171","0.056053","0.100929","0.102637","0.104994"
"19971013","0.055639","0.055018","0.055425","0.056069","0.101517","0.102869","0.104963"
"19971014","0.055851","0.055156","0.054660","0.054877","0.101531","0.102850","0.104826"
"19971015","0.054665","0.053722","0.052737","0.052858","0.100900","0.102481","0.104514"
"19971016","0.052453","0.051463","0.052001","0.052491","0.100362","0.102115","0.104199"
"19971017","0.052248","0.052271","0.052441","0.053215","0.100234","0.101942","0.103980"
"19971020","0.052970","0.051978","0.051707","0.051902","0.099732","0.101571","0.103661"
"19971021","0.051748","0.051607","0.052107","0.052064","0.099448","0.101295","0.103388"
"19971022","0.051789","0.050802","0.050305","0.050099","0.098635","0.100726","0.102958"
"19971023","0.049860","0.048882","0.047723","0.047863","0.097384","0.099868","0.102363"
"19971024","0.047598","0.046629","0.046918","0.047108","0.096310","0.099034","0.101755"
"19971027","0.046904","0.046619","0.047092","0.047052","0.095577","0.098342","0.101200"
"19971028","0.046380","0.045417","0.038304","0.038557","0.092392","0.096287","0.099912"
"19971029","0.039508","0.042343","0.040231","0.043407","0.091807","0.095456","0.099196"
"19971030","0.043196","0.048409","0.042975","0.049623","0.093391","0.095865","0.099122"
"19971031","0.049349","0.050172","0.047314","0.049129","0.094289","0.096113","0.099009"
"19971103","0.048969","0.050784","0.049245","0.049389","0.094971","0.096361","0.098931"
"19971104","0.049345","0.049042","0.048096","0.048006","0.094986","0.096322","0.098733"
"19971105","0.047773","0.046940","0.046926","0.047199","0.094741","0.096149","0.098479"
"19971106","0.046994","0.046148","0.044620","0.044793","0.093813","0.095585","0.098027"
"19971107","0.043898","0.043255","0.041537","0.042211","0.092376","0.094672","0.097379"
"19971110","0.041986","0.041042","0.041180","0.041520","0.091198","0.093804","0.096729"
"19971111","0.041233","0.040443","0.038269","0.038587","0.089482","0.092580","0.095870"
"19971112","0.038375","0.038349","0.038277","0.038887","0.088434","0.091631","0.095121"
"19971113","0.038701","0.037772","0.036634","0.036530","0.086986","0.090442","0.094225"
"19971114","0.036376","0.035956","0.036166","0.036306","0.085950","0.089430","0.093394"
"19971117","0.036229","0.036419","0.036803","0.036850","0.085433","0.088697","0.092692"
"19971118","0.036656","0.036319","0.035740","0.035775","0.084746","0.087909","0.091957"
