"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20001002","0.048387","0.048800","0.060251","0.046774","0.000000","0.000000","0.000000"
"20001003","0.046774","0.047200","0.052720","0.038710","0.000000","0.000000","0.000000"
"20001004","0.038710","0.038400","0.045188","0.036290","0.000000","0.000000","0.000000"
"20001005","0.035484","0.040000","0.049372","0.038710","0.000000","0.000000","0.000000"
"20001006","0.038710","0.038400","0.048536","0.036290","0.117160","0.000000","0.000000"
"20001009","0.036290","0.036000","0.044351","0.033065","0.115391","0.000000","0.000000"
"20001010","0.032258","0.032800","0.044351","0.032258","0.113964","0.000000","0.000000"
"20001011","0.031452","0.036800","0.044351","0.035484","0.114001","0.000000","0.000000"
"20001012","0.035484","0.038400","0.048536","0.037097","0.114519","0.000000","0.000000"
"20001013","0.035484","0.038400","0.047699","0.038710","0.115358","0.121688","0.000000"
"20001016","0.038710","0.038400","0.052720","0.038710","0.115918","0.121907","0.000000"
"20001017","0.040323","0.043200","0.054393","0.041935","0.117279","0.122651","0.000000"
"20001018","0.041935","0.041600","0.052720","0.040323","0.117692","0.122977","0.000000"
"20001019","0.039516","0.041600","0.051883","0.041935","0.118461","0.123527","0.000000"
"20001020","0.044355","0.044000","0.050209","0.040323","0.118480","0.123694","0.000000"
"20001023","0.040323","0.040000","0.050209","0.040323","0.118493","0.123831","0.000000"
"20001024","0.040323","0.040000","0.050209","0.040323","0.118502","0.123943","0.000000"
"20001025","0.040323","0.040000","0.054393","0.040323","0.118507","0.124034","0.000000"
"20001026","0.036290","0.040000","0.050209","0.040323","0.118511","0.124109","0.000000"
"20001027","0.040323","0.040000","0.054393","0.040323","0.118513","0.124170","0.124982"
"20001030","0.036290","0.036000","0.046025","0.036290","0.117281","0.123513","0.124731"
"20001031","0.032258","0.036000","0.046025","0.036290","0.116459","0.122976","0.124504"
"20001101","0.036290","0.036000","0.046025","0.036290","0.115911","0.122536","0.124299"
"20001102","0.036290","0.036000","0.046025","0.036290","0.115545","0.122176","0.124114"
"20001103","0.036290","0.036000","0.046025","0.036290","0.115302","0.121882","0.123946"
"20001106","0.036290","0.040000","0.046025","0.040323","0.116374","0.122348","0.124170"
"20001107","0.040323","0.040000","0.050209","0.040323","0.117089","0.122729","0.124372"
"20001108","0.040323","0.044000","0.050209","0.040323","0.117565","0.123041","0.124556"
"20001109","0.040323","0.044000","0.050209","0.040323","0.117883","0.123297","0.124722"
"20001110","0.036290","0.048000","0.050209","0.044355","0.119329","0.124213","0.125248"
"20001113","0.044355","0.048000","0.054393","0.044355","0.120294","0.124962","0.125723"
"20001114","0.044355","0.048000","0.058577","0.044355","0.120937","0.125575","0.126154"
"20001115","0.044355","0.048000","0.050209","0.044355","0.121365","0.126077","0.126544"
"20001116","0.040323","0.040000","0.050209","0.040323","0.120416","0.125780","0.126520"
"20001117","0.040323","0.040000","0.050209","0.040323","0.119784","0.125538","0.126499"
"20001120","0.040323","0.040000","0.054393","0.040323","0.119362","0.125339","0.126480"
"20001121","0.040323","0.044000","0.050209","0.044355","0.120315","0.125884","0.126838"
"20001122","0.040323","0.044000","0.054393","0.044355","0.120951","0.126329","0.127163"
"20001123","0.044355","0.052000","0.058577","0.052419","0.123844","0.128108","0.128208"
"20001124","0.052419","0.052000","0.062762","0.052419","0.125772","0.129564","0.129154"
"20001127","0.048387","0.048000","0.058577","0.048387","0.125824","0.130047","0.129633"
"20001128","0.044355","0.044000","0.054393","0.044355","0.124623","0.129736","0.129691"
"20001129","0.044355","0.044000","0.054393","0.044355","0.123823","0.129481","0.129744"
"20001130","0.044355","0.044000","0.054393","0.044355","0.123289","0.129273","0.129792"
"20001201","0.044355","0.044000","0.054393","0.044355","0.122934","0.129102","0.129835"
"20001204","0.044355","0.044000","0.054393","0.044355","0.122696","0.128963","0.129874"
"20001205","0.044355","0.044000","0.054393","0.044355","0.122538","0.128848","0.129909"
"20001206","0.044355","0.044000","0.054393","0.044355","0.122433","0.128755","0.129941"
"20001207","0.044355","0.048000","0.054393","0.048387","0.123597","0.129386","0.130346"
"20001208","0.044355","0.044000","0.054393","0.044355","0.123139","0.129195","0.130336"
"20001211","0.040323","0.044000","0.054393","0.044355","0.122833","0.129038","0.130327"
"20001212","0.040323","0.040000","0.050209","0.040323","0.121395","0.128203","0.129944"
"20001213","0.040323","0.040000","0.050209","0.040323","0.120436","0.127520","0.129596"
"20001214","0.040323","0.044000","0.050209","0.044355","0.121032","0.127668","0.129658"
"20001215","0.040323","0.040000","0.050209","0.040323","0.120194","0.127082","0.129338"
"20001218","0.036290","0.040000","0.046025","0.036290","0.118401","0.125896","0.128672"
"20001219","0.036290","0.036000","0.046025","0.036290","0.117206","0.124925","0.128070"
"20001220","0.036290","0.036000","0.046025","0.036290","0.116409","0.124131","0.127526"
"20001221","0.036290","0.036000","0.046025","0.036290","0.115877","0.123481","0.127033"
"20001222","0.036290","0.036000","0.046025","0.036290","0.115523","0.122949","0.126587"
"20010102","0.036290","0.040000","0.050209","0.040323","0.116522","0.123221","0.126559"
"20010103","0.036290","0.040000","0.050209","0.040323","0.117187","0.123444","0.126534"
"20010104","0.036290","0.040000","0.050209","0.040323","0.117631","0.123626","0.126512"
"20010105","0.040323","0.044000","0.050209","0.040323","0.117927","0.123775","0.126491"
"20010108","0.036290","0.040000","0.050209","0.040323","0.118124","0.123897","0.126473"
"20010109","0.036290","0.040000","0.050209","0.040323","0.118256","0.123997","0.126456"
"20010110","0.040323","0.040000","0.050209","0.040323","0.118343","0.124078","0.126441"
"20010111","0.036290","0.040000","0.050209","0.040323","0.118402","0.124145","0.126427"
"20010112","0.036290","0.040000","0.050209","0.040323","0.118441","0.124200","0.126415"
"20010115","0.036290","0.040000","0.050209","0.040323","0.118467","0.124245","0.126404"
"20010116","0.040323","0.040000","0.050209","0.040323","0.118484","0.124281","0.126394"
"20010117","0.040323","0.040000","0.050209","0.040323","0.118495","0.124311","0.126384"
"20010118","0.040323","0.044000","0.050209","0.044355","0.119738","0.125043","0.126752"
"20010119","0.040323","0.044000","0.054393","0.044355","0.120566","0.125641","0.127085"
"20010122","0.040323","0.048000","0.054393","0.048387","0.122353","0.126838","0.127761"
"20010123","0.044355","0.044000","0.054393","0.044355","0.122309","0.127110","0.127998"
"20010124","0.040323","0.044000","0.054393","0.044355","0.122280","0.127333","0.128212"
"20010125","0.044355","0.052000","0.058577","0.048387","0.123495","0.128222","0.128781"
"20010126","0.048387","0.048000","0.058577","0.048387","0.124306","0.128950","0.129296"
"20010129","0.044355","0.048000","0.058577","0.048387","0.124846","0.129545","0.129763"
"20010130","0.048387","0.052000","0.058577","0.052419","0.126440","0.130739","0.130560"
"20010131","0.052419","0.060000","0.066946","0.056452","0.128738","0.132423","0.131658"
"20010201","0.056452","0.064000","0.066946","0.064516","0.132739","0.135215","0.133403"
"20010202","0.064516","0.092000","0.079498","0.088710","0.142814","0.141742","0.137237"
"20010205","0.096774","0.116000","0.104603","0.096774","0.151999","0.148496","0.141457"
"20010206","0.092742","0.092000","0.100418","0.088710","0.155654","0.152608","0.144524"
"20010207","0.084677","0.084000","0.079498","0.072581","0.153152","0.153145","0.145795"
"20010208","0.072581","0.076000","0.087866","0.076613","0.152719","0.154290","0.147321"
"20010209","0.072581","0.072000","0.079498","0.068548","0.149961","0.153814","0.147950"
"20010212","0.068548","0.072000","0.079498","0.072581","0.149356","0.154131","0.148895"
"20010213","0.072581","0.072000","0.083682","0.072581","0.148954","0.154390","0.149750"
"20010214","0.068548","0.072000","0.083682","0.072581","0.148685","0.154602","0.150523"
"20010215","0.072581","0.080000","0.087866","0.080645","0.150975","0.156190","0.151975"
"20010216","0.080645","0.080000","0.083682","0.072581","0.150033","0.156075","0.152537"
"20010219","0.068548","0.072000","0.083682","0.072581","0.149405","0.155981","0.153045"
"20010220","0.072581","0.072000","0.079498","0.068548","0.147751","0.155197","0.153129"
"20010221","0.068548","0.076000","0.083682","0.076613","0.149118","0.155969","0.153956"
"20010222","0.076613","0.076000","0.087866","0.076613","0.150029","0.156601","0.154705"
"20010223","0.076613","0.076000","0.087866","0.076613","0.150637","0.157119","0.155382"
"20010226","0.072581","0.072000","0.079498","0.068548","0.148573","0.156128","0.155244"
"20010227","0.068548","0.072000","0.079498","0.068548","0.147197","0.155317","0.155118"
"20010228","0.068548","0.068000","0.066946","0.060484","0.143810","0.153239","0.154253"
"20010301","0.056452","0.056000","0.066946","0.056452","0.140318","0.150832","0.153094"
"20010302","0.056452","0.060000","0.066946","0.056452","0.137990","0.148863","0.152045"
"20010306","0.056452","0.064000","0.071130","0.060484","0.137672","0.147959","0.151473"
