"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20001002","850.000000","855.000000","835.000000","840.000000","0.000000","0.000000","0.000000"
"20001003","840.000000","845.000000","790.000000","790.000000","0.000000","0.000000","0.000000"
"20001004","790.000000","790.000000","745.000000","775.000000","0.000000","0.000000","0.000000"
"20001005","770.000000","800.000000","770.000000","790.000000","0.000000","0.000000","0.000000"
"20001006","790.000000","790.000000","765.000000","775.000000","790.833333","0.000000","0.000000"
"20001009","775.000000","775.000000","740.000000","755.000000","778.888889","0.000000","0.000000"
"20001010","750.000000","755.000000","740.000000","750.000000","769.259259","0.000000","0.000000"
"20001011","745.000000","780.000000","740.000000","770.000000","769.506173","0.000000","0.000000"
"20001012","770.000000","790.000000","765.000000","780.000000","773.004115","0.000000","0.000000"
"20001013","770.000000","790.000000","760.000000","790.000000","778.669410","782.272727","0.000000"
"20001016","790.000000","790.000000","790.000000","790.000000","782.446273","783.677686","0.000000"
"20001017","800.000000","820.000000","800.000000","810.000000","791.630849","788.463561","0.000000"
"20001018","810.000000","810.000000","790.000000","800.000000","794.420566","790.561096","0.000000"
"20001019","795.000000","810.000000","785.000000","810.000000","799.613711","794.095442","0.000000"
"20001020","825.000000","825.000000","775.000000","800.000000","799.742474","795.168998","0.000000"
"20001023","800.000000","800.000000","775.000000","800.000000","799.828316","796.047362","0.000000"
"20001024","800.000000","800.000000","775.000000","800.000000","799.885544","796.766023","0.000000"
"20001025","800.000000","800.000000","800.000000","800.000000","799.923696","797.354019","0.000000"
"20001026","775.000000","800.000000","775.000000","800.000000","799.949131","797.835107","0.000000"
"20001027","800.000000","800.000000","800.000000","800.000000","799.966087","798.228724","791.666667"
"20001030","775.000000","775.000000","750.000000","775.000000","791.644058","794.005319","790.079365"
"20001031","750.000000","775.000000","750.000000","775.000000","786.096039","790.549807","788.643235"
"20001101","775.000000","775.000000","750.000000","775.000000","782.397359","787.722569","787.343879"
"20001102","775.000000","775.000000","750.000000","775.000000","779.931573","785.409375","786.168272"
"20001103","775.000000","775.000000","750.000000","775.000000","778.287715","783.516761","785.104627"
"20001106","775.000000","800.000000","750.000000","800.000000","785.525143","786.513714","786.523234"
"20001107","800.000000","800.000000","775.000000","800.000000","790.350096","788.965766","787.806735"
"20001108","800.000000","825.000000","775.000000","800.000000","793.566730","790.971990","788.967999"
"20001109","800.000000","825.000000","775.000000","800.000000","795.711154","792.613446","790.018665"
"20001110","775.000000","850.000000","775.000000","825.000000","805.474102","798.501911","793.350221"
"20001113","825.000000","850.000000","800.000000","825.000000","811.982735","803.319745","796.364486"
"20001114","825.000000","850.000000","825.000000","825.000000","816.321823","807.261610","799.091678"
"20001115","825.000000","850.000000","775.000000","825.000000","819.214549","810.486772","801.559137"
"20001116","800.000000","800.000000","775.000000","800.000000","812.809699","808.580086","801.410648"
"20001117","800.000000","800.000000","775.000000","800.000000","808.539799","807.020070","801.276300"
"20001120","800.000000","800.000000","800.000000","800.000000","805.693200","805.743694","801.154748"
"20001121","800.000000","825.000000","775.000000","825.000000","812.128800","809.244840","803.425724"
"20001122","800.000000","825.000000","800.000000","825.000000","816.419200","812.109415","805.480417"
"20001123","825.000000","875.000000","825.000000","875.000000","835.946133","823.544067","812.101330"
"20001124","875.000000","875.000000","850.000000","875.000000","848.964089","832.899691","818.091679"
"20001127","850.000000","850.000000","825.000000","850.000000","849.309393","836.008838","821.130567"
"20001128","825.000000","825.000000","800.000000","825.000000","841.206262","834.007231","821.499084"
"20001129","825.000000","825.000000","800.000000","825.000000","835.804174","832.369553","821.832505"
"20001130","825.000000","825.000000","800.000000","825.000000","832.202783","831.029634","822.134171"
"20001201","825.000000","825.000000","800.000000","825.000000","829.801855","829.933337","822.407107"
"20001204","825.000000","825.000000","800.000000","825.000000","828.201237","829.036367","822.654049"
"20001205","825.000000","825.000000","800.000000","825.000000","827.134158","828.302482","822.877473"
"20001206","825.000000","825.000000","800.000000","825.000000","826.422772","827.702031","823.079619"
"20001207","825.000000","850.000000","800.000000","850.000000","834.281848","831.756207","825.643465"
"20001208","825.000000","825.000000","800.000000","825.000000","831.187899","830.527806","825.582182"
"20001211","800.000000","825.000000","800.000000","825.000000","829.125266","829.522750","825.526736"
"20001212","800.000000","800.000000","775.000000","800.000000","819.416844","824.154977","823.095619"
"20001213","800.000000","800.000000","775.000000","800.000000","812.944563","819.763163","820.896036"
"20001214","800.000000","825.000000","775.000000","825.000000","816.963042","820.715315","821.286890"
"20001215","800.000000","800.000000","775.000000","800.000000","811.308694","816.948894","819.259567"
"20001218","775.000000","800.000000","750.000000","775.000000","799.205796","809.321823","815.044370"
"20001219","775.000000","775.000000","750.000000","775.000000","791.137198","803.081491","811.230620"
"20001220","775.000000","775.000000","750.000000","775.000000","785.758132","797.975766","807.780085"
"20001221","775.000000","775.000000","750.000000","775.000000","782.172088","793.798354","804.658172"
"20001222","775.000000","775.000000","750.000000","775.000000","779.781392","790.380471","801.833584"
"20010102","775.000000","800.000000","775.000000","800.000000","786.520928","792.129476","801.658957"
"20010103","775.000000","800.000000","775.000000","800.000000","791.013952","793.560481","801.500961"
"20010104","775.000000","800.000000","775.000000","800.000000","794.009301","794.731302","801.358013"
"20010105","800.000000","825.000000","775.000000","800.000000","796.006201","795.689247","801.228678"
"20010108","775.000000","800.000000","775.000000","800.000000","797.337467","796.473021","801.111661"
"20010109","775.000000","800.000000","775.000000","800.000000","798.224978","797.114290","801.005789"
"20010110","800.000000","800.000000","775.000000","800.000000","798.816652","797.638964","800.909999"
"20010111","775.000000","800.000000","775.000000","800.000000","799.211101","798.068243","800.823333"
"20010112","775.000000","800.000000","775.000000","800.000000","799.474068","798.419472","800.744920"
"20010115","775.000000","800.000000","775.000000","800.000000","799.649378","798.706841","800.673975"
"20010116","800.000000","800.000000","775.000000","800.000000","799.766252","798.941961","800.609787"
"20010117","800.000000","800.000000","775.000000","800.000000","799.844168","799.134331","800.551712"
"20010118","800.000000","825.000000","775.000000","825.000000","808.229445","803.837180","802.880121"
"20010119","800.000000","825.000000","800.000000","825.000000","813.819630","807.684966","804.986776"
"20010122","800.000000","850.000000","800.000000","850.000000","825.879754","815.378608","809.273749"
"20010123","825.000000","825.000000","800.000000","825.000000","825.586502","817.127952","810.771488"
"20010124","800.000000","825.000000","800.000000","825.000000","825.391002","818.559234","812.126584"
"20010125","825.000000","875.000000","825.000000","850.000000","833.594001","824.275737","815.733576"
"20010126","850.000000","850.000000","825.000000","850.000000","839.062667","828.952875","818.997045"
"20010129","825.000000","850.000000","825.000000","850.000000","842.708445","832.779625","821.949707"
"20010130","850.000000","875.000000","825.000000","875.000000","853.472297","840.456057","827.002116"
"20010131","875.000000","925.000000","875.000000","900.000000","868.981531","851.282229","833.954296"
"20010201","900.000000","950.000000","875.000000","950.000000","895.987687","869.230914","845.006267"
"20010202","950.000000","1125.000000","950.000000","1100.000000","963.991792","911.188930","869.291385"
"20010205","1150.000000","1275.000000","1100.000000","1150.000000","1025.994528","954.609124","896.025539"
"20010206","1125.000000","1125.000000","1075.000000","1100.000000","1050.663018","981.043829","915.451678"
"20010207","1075.000000","1075.000000","950.000000","1000.000000","1033.775346","984.490406","923.503899"
"20010208","1000.000000","1025.000000","1000.000000","1025.000000","1030.850230","991.855786","933.170194"
"20010209","1000.000000","1000.000000","950.000000","975.000000","1012.233487","988.791098","937.153985"
"20010212","975.000000","1000.000000","950.000000","1000.000000","1008.155658","990.829080","943.139320"
"20010213","1000.000000","1000.000000","975.000000","1000.000000","1005.437105","992.496520","948.554623"
"20010214","975.000000","1000.000000","975.000000","1000.000000","1003.624737","993.860789","953.454183"
"20010215","1000.000000","1050.000000","1000.000000","1050.000000","1019.083158","1004.067918","962.649022"
"20010216","1050.000000","1050.000000","975.000000","1000.000000","1012.722105","1003.328297","966.206258"
"20010219","975.000000","1000.000000","975.000000","1000.000000","1008.481404","1002.723152","969.424710"
"20010220","1000.000000","1000.000000","950.000000","975.000000","997.320936","997.682579","969.955690"
"20010221","975.000000","1025.000000","975.000000","1025.000000","1006.547290","1002.649383","975.198005"
"20010222","1025.000000","1025.000000","1000.000000","1025.000000","1012.698194","1006.713131","979.941052"
"20010223","1025.000000","1025.000000","1000.000000","1025.000000","1016.798796","1010.038017","984.232381"
"20010226","1000.000000","1000.000000","950.000000","975.000000","1002.865864","1003.667468","983.353106"
"20010227","975.000000","1000.000000","950.000000","975.000000","993.577243","998.455201","982.557572"
"20010228","975.000000","975.000000","875.000000","925.000000","970.718162","985.099710","977.075899"
"20010301","900.000000","900.000000","875.000000","900.000000","947.145441","969.627035","969.735337"
"20010302","900.000000","925.000000","875.000000","900.000000","931.430294","956.967574","963.093876"
"20010306","900.000000","950.000000","900.000000","925.000000","929.286863","951.155288","959.465888"
"20010307","925.000000","950.000000","925.000000","925.000000","927.857908","946.399781","956.183423"
"20010308","925.000000","925.000000","900.000000","925.000000","926.905272","942.508912","953.213573"
"20010309","925.000000","925.000000","875.000000","900.000000","917.936848","934.780019","948.145614"
"20010312","850.000000","875.000000","825.000000","875.000000","903.624565","923.910925","941.179365"
"20010313","825.000000","850.000000","800.000000","825.000000","877.416377","905.927120","930.114663"
"20010315","825.000000","850.000000","800.000000","850.000000","868.277585","895.758553","922.484695"
"20010316","850.000000","850.000000","800.000000","850.000000","862.185056","887.438816","915.581391"
"20010319","825.000000","825.000000","800.000000","825.000000","849.790038","876.086304","906.954592"
"20010320","825.000000","825.000000","800.000000","825.000000","841.526692","866.797885","899.149393"
"20010321","800.000000","850.000000","800.000000","850.000000","844.351128","863.743724","894.468498"
"20010322","825.000000","850.000000","800.000000","825.000000","837.900752","856.699411","887.852451"
"20010323","825.000000","850.000000","825.000000","850.000000","841.933835","855.481336","884.247455"
