"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20100426","0.209749","0.189749","0.221054","0.221068","0.000000","0.000000","0.000000"
"20100427","0.218580","0.182074","0.217429","0.213006","0.000000","0.000000","0.000000"
"20100428","0.211018","0.174300","0.185744","0.190969","0.000000","0.000000","0.000000"
"20100429","0.189428","0.165012","0.198632","0.201044","0.000000","0.000000","0.000000"
"20100430","0.199565","0.188265","0.210697","0.224847","0.645855","0.000000","0.000000"
"20100503","0.223287","0.194875","0.226996","0.222769","0.647394","0.000000","0.000000"
"20100504","0.221160","0.204046","0.225375","0.221978","0.648300","0.000000","0.000000"
"20100505","0.219814","0.183343","0.165555","0.162315","0.639846","0.000000","0.000000"
"20100506","0.160698","0.122562","0.120536","0.143847","0.631405","0.000000","0.000000"
"20100507","0.141290","0.102607","0.093036","0.105133","0.619900","0.641220","0.000000"
"20100510","0.104364","0.132758","0.113883","0.165118","0.621338","0.639725","0.000000"
"20100511","0.163862","0.132689","0.150050","0.143792","0.619059","0.636710","0.000000"
"20100512","0.142477","0.126054","0.152642","0.163357","0.620510","0.635887","0.000000"
"20100514","0.161551","0.136362","0.169891","0.169057","0.622342","0.635693","0.000000"
"20100517","0.167278","0.129327","0.136277","0.148736","0.620479","0.633827","0.000000"
"20100518","0.147961","0.122141","0.158218","0.159069","0.620805","0.633168","0.000000"
"20100519","0.157290","0.119057","0.106703","0.102888","0.612493","0.627911","0.000000"
"20100520","0.102267","0.080747","0.072791","0.083584","0.604020","0.621988","0.000000"
"20100521","0.081581","0.041216","0.032189","0.048858","0.593100","0.614226","0.000000"
"20100524","0.048372","0.034617","0.047389","0.042628","0.584873","0.607352","0.630620"
"20100525","0.041495","0.000000","0.000000","0.000000","0.572917","0.598148","0.623923"
"20100526","0.000000","0.058852","0.007750","0.095819","0.579494","0.598664","0.622106"
"20100527","0.094425","0.074181","0.058212","0.105664","0.585373","0.599914","0.620898"
"20100531","0.104770","0.113628","0.114296","0.150571","0.596112","0.604707","0.621793"
"20100601","0.148967","0.110501","0.118093","0.109887","0.597093","0.605212","0.620801"
"20100602","0.108965","0.095977","0.116154","0.114808","0.598495","0.606039","0.620122"
"20100603","0.113918","0.116669","0.123599","0.155617","0.605625","0.610143","0.621314"
"20100604","0.154106","0.123569","0.153618","0.161863","0.611327","0.614025","0.622669"
"20100607","0.158884","0.120696","0.098774","0.122862","0.609207","0.613926","0.622169"
