"Date","Open","High","Low","Close","EMA5","EMA10","EMA20"
"20100426","568.030000","574.603000","568.030000","571.850000","0.000000","0.000000","0.000000"
"20100427","571.592000","571.592000","566.592000","568.618000","0.000000","0.000000","0.000000"
"20100428","568.542000","568.542000","554.024000","559.783000","0.000000","0.000000","0.000000"
"20100429","559.833000","564.898000","559.136000","563.822000","0.000000","0.000000","0.000000"
"20100430","563.922000","574.021000","563.922000","573.365000","568.467167","0.000000","0.000000"
"20100503","573.491000","576.614000","570.387000","572.532000","569.822111","0.000000","0.000000"
"20100504","572.633000","580.212000","569.744000","572.215000","570.619741","0.000000","0.000000"
"20100505","572.090000","572.090000","546.016000","548.295000","563.178160","0.000000","0.000000"
"20100506","548.244000","548.244000","528.159000","540.891000","555.749107","0.000000","0.000000"
"20100507","540.415000","540.415000","517.251000","525.370000","545.622738","556.555545","0.000000"
"20100510","525.520000","552.244000","525.520000","549.419000","546.888159","555.257992","0.000000"
"20100511","549.520000","552.217000","539.866000","540.869000","544.881772","552.641811","0.000000"
"20100512","540.894000","549.614000","540.894000","548.713000","546.158848","551.927482","0.000000"
"20100514","548.588000","553.658000","547.736000","550.998000","547.771899","551.758485","0.000000"
"20100517","550.898000","550.898000","534.403000","542.851000","546.131599","550.138943","0.000000"
"20100518","543.106000","548.079000","543.106000","546.994000","546.419066","549.567135","0.000000"
"20100519","546.869000","546.869000","522.672000","524.470000","539.102711","545.004019","0.000000"
"20100520","524.674000","531.839000","509.221000","516.731000","531.645474","539.863470","0.000000"
"20100521","516.330000","516.330000","493.116000","502.809000","522.033316","533.126294","0.000000"
"20100524","502.934000","513.741000","499.145000","500.311000","514.792544","527.159877","543.867476"
"20100525","500.160000","500.160000","480.348000","483.221000","504.268696","519.170990","538.091621"
"20100526","483.422000","523.249000","483.422000","521.636000","510.057797","519.619174","536.524419"
"20100527","521.511000","529.263000","503.438000","525.583000","515.232865","520.703506","535.482379"
"20100531","525.684000","544.739000","525.684000","543.587000","524.684243","524.864141","536.254248"
"20100601","543.512000","543.512000","527.190000","527.276000","525.548162","525.302661","535.399177"
"20100602","527.376000","537.814000","526.421000","529.249000","526.781775","526.020177","534.813446"
"20100603","529.374000","545.932000","529.374000","545.610000","533.057850","529.581963","535.841689"
"20100604","545.585000","548.639000","541.281000","548.114000","538.076567","532.951424","537.010480"
"20100607","547.512000","547.512000","519.527000","532.478000","536.210378","532.865347","536.578816"
"20100608","532.509000","538.976000","532.509000","538.493000","536.971252","533.888557","536.761119"
"20100609","538.443000","541.495000","534.408000","538.618000","537.520168","534.748456","536.937965"
"20100610","538.718000","539.905000","531.356000","534.169000","536.403112","534.643100","536.674254"
"20100611","534.345000","544.943000","534.345000","540.748000","537.851408","535.753082","537.062230"
"20100614","540.799000","546.353000","540.799000","546.271000","540.657939","537.665431","537.939255"
"20100615","546.322000","552.008000","545.937000","547.492000","542.935959","539.452080","538.849041"
"20100616","547.617000","557.889000","547.617000","553.796000","546.555973","542.060065","540.272561"
"20100617","553.216000","562.460000","553.216000","560.458000","551.189982","545.405144","542.194983"
"20100618","560.508000","570.745000","560.508000","569.725000","557.368321","549.826936","544.816890"
"20100621","569.825000","581.793000","568.838000","572.343000","562.359881","553.920766","547.438424"
"20100622","572.088000","575.885000","567.827000","570.963000","565.227587","557.019354","549.678860"
"20100623","570.787000","570.787000","563.381000","569.157000","566.537391","559.226199","551.533921"
"20100624","569.182000","573.986000","565.549000","566.764000","566.612928","560.596708","552.984405"
"20100625","566.689000","575.091000","564.801000","574.193000","569.139618","563.068761","555.004271"
"20100628","574.243000","580.747000","573.663000","575.827000","571.368746","565.388441","556.987388"
"20100629","575.852000","577.176000","558.034000","562.622000","568.453164","564.885452","557.524018"
"20100630","562.421000","567.106000","551.104000","566.100000","567.668776","565.106279","558.340778"
"20100701","565.897000","565.897000","555.388000","558.358000","564.565184","563.879319","558.342418"
"20100702","558.508000","561.821000","554.417000","556.616000","561.915456","562.558715","558.177997"
"20100705","556.716000","559.548000","556.310000","558.081000","560.637304","561.744585","558.168759"
"20100706","558.106000","566.295000","554.897000","565.491000","562.255203","562.425752","558.866116"
"20100707","565.460000","566.301000","561.011000","563.794000","562.768135","562.674524","559.335438"
"20100708","563.944000","570.711000","563.791000","565.466000","563.667423","563.182065","559.919301"
"20100709","565.541000","570.149000","563.938000","569.937000","565.757282","564.410235","560.873368"
"20100712","569.486000","576.469000","569.099000","573.373000","568.295855","566.039829","562.063809"
"20100713","573.119000","577.442000","570.903000","574.030000","570.207237","567.492587","563.203446"
"20100714","574.080000","581.515000","574.080000","577.441000","572.618491","569.301389","564.559404"
"20100715","577.187000","579.239000","573.224000","578.550000","574.595661","570.982955","565.891841"
"20100716","578.520000","581.072000","576.374000","581.072000","576.754440","572.817327","567.337571"
"20100719","580.996000","580.996000","570.691000","577.404000","576.970960","573.651267","568.296278"
"20100720","577.479000","580.783000","575.412000","580.776000","578.239307","574.946673","569.484823"
"20100721","580.851000","584.476000","579.871000","583.975000","580.151205","576.588187","570.864840"
"20100722","584.050000","584.923000","579.551000","582.190000","580.830803","577.606699","571.943427"
"20100723","582.290000","591.170000","582.290000","588.581000","583.414202","579.602026","573.527957"
"20100726","588.606000","593.525000","582.607000","584.317000","583.715135","580.459294","574.555485"
"20100727","584.392000","592.475000","584.392000","587.809000","585.079756","581.795604","575.817725"
"20100728","587.784000","591.753000","586.510000","588.638000","586.265838","583.039676","577.038703"
"20100729","588.763000","596.903000","588.433000","596.836000","589.789225","585.548099","578.924160"
"20100730","596.811000","598.180000","586.713000","589.925000","589.834483","586.343899","579.971859"
"20100802","590.177000","593.239000","584.536000","586.268000","588.645656","586.330099","580.571492"
"20100803","586.367000","591.540000","566.409000","568.110000","581.800437","583.017354","579.384683"
"20100804","568.160000","574.138000","564.912000","568.915000","577.505291","580.453290","578.387570"
"20100805","569.064000","581.330000","569.064000","580.819000","578.609861","580.519782","578.619135"
"20100806","580.943000","584.469000","577.333000","583.639000","580.286241","581.086913","579.097217"
"20100809","582.870000","588.218000","582.523000","588.213000","582.928494","582.382565","579.965387"
"20100810","588.313000","588.388000","580.342000","582.384000","582.746996","582.382826","580.195731"
"20100811","581.747000","582.933000","574.540000","577.721000","581.071664","581.535221","579.960043"
"20100812","577.448000","577.448000","568.457000","574.782000","578.975109","580.307363","579.466896"
"20100813","574.807000","580.382000","574.699000","579.934000","579.294740","580.239479","579.511382"
"20100816","579.909000","581.196000","575.379000","579.554000","579.381160","580.114846","579.515441"
"20100818","579.745000","583.354000","577.554000","582.926000","580.562773","580.625965","579.840256"
"20100819","583.026000","592.093000","582.957000","589.893000","583.672849","582.310881","580.797660"
"20100820","589.389000","592.937000","585.110000","592.164000","586.503232","584.102357","581.880169"
"20100823","592.089000","594.270000","589.648000","593.994000","589.000155","585.900837","583.033867"
"20100824","593.919000","596.420000","587.413000","590.782000","589.594103","586.788321","583.771784"
"20100825","590.732000","595.676000","587.894000","595.354000","591.514069","588.345718","584.874852"
"20100826","595.255000","597.804000","592.232000","595.679000","592.902379","589.679042","585.903819"
